,_id,ltable_name,ltable_family,ltable_ecology,ltable_countries,ltable_threat_paragraph,ltable_conservation_paragraph,ltable_pop_trend,ltable_status,ltable_country_count,scientific_name,rtable_name,rtable_kingdom,rtable_phylum,rtable_class,rtable_order,rtable_family,genus,rtable_size,rtable_threats,rtable_conservation,rtable_threat_keywords,rtable_conservation_keywords,rtable_status,rtable_countries,rtable_country_count,rtable_tCount,label
560,1213800,"bluntnosed leopard lizard, san joaquin leopard lizard",Crotaphytidae,Terrestrial,United States (California); ,"
    Its distribution and abundance have been greatly reduced, and populations are now severely fragmented, due primarily to loss of habitat to urbanization, water development projects, and agricultural development; intensive mineral development, off-road vehicle activity, pesticide application (for ground squirrels), overgrazing, and flooding also have been detrimental (USFWS 1998). Thick cover of non-native grasses degrades the habitat in some years and locations (Germano and Williams 2005). These lizards use mammal burrows for shelter, so activities that compact soil or crush burrows should be avoided. Habitat disturbance, destruction, and fragmentation continue as the greatest threats to Blunt-nosed Leopard Lizard populations (USFWS 1998).

    
  ","['\n    Surveys of known and potential habitat should attempt to determine the presence and abundance of blunt-nosed leopard lizards throughout the range (USFWS 1998). An effort should be made to determine appropriate habitat management and compatible land uses (USFWS 1998). Remaining populations on public and private land should be protected, as should additional suitable habitat for the species (see Recovery Plan, USFWS 1998). It occurs in a number of protected areas.\n\n    \n  ']",Decreasing,Endangered,1,Gambelia sila,bluntnosed leopard lizard ,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,Gambelia ,Male total length: up to 35.7 cm (2)Female total length: up to 33.4 cm (2)Male weight: up to 60 g (2)Female weight: up to 47g (2),The major threat to this species is the disturbance and destruction of its habitat for purposes such as cultivation and urbanisation (1) (5). Construction of facilities and dumping of waste related to gas and natural oil extraction has led directly to blunt-nosed leopard lizard mortalities (5).,The blunt-nosed leopard lizard is protected by law in the United States and is currently covered by the conservation efforts of the Endangered Species Recovery Program which aims to research and produce recoverey programmes for endangered species in the San Joaquin Valley (9). Efforts so far have included large-scale habitat and population surveys in order to better understand this elusive species (5). Future recommendations include determining appropriate habitat management and protecting additional habitat (5). , ,protected; ,Endangered,"['Australia', 'United States']",2,0,
588,8395729,"blackandwhite ruffed lemur, ruffed lemur",Lemuridae,Terrestrial,Madagascar; ,"
    The principal threat to its survival is habitat loss due to slash-and-burn agriculture, logging and mining. They are large bodied and diurnal, and therefore also among the most heavily hunted of all lemur species. The seasonality of their vocalizations (due to increased food availability) has been tied to increased levels of hunting (Ratsimbazafy 2002, Vasey 2003). In Makira, where they are one of the more expensive and desired meats, hunting is largely unsustainable (Golden 2005). It is one of the first lemurs to disappear where humans encroach upon rain forest habitats.

    
  ","['\n    This species is listed on Appendix I of CITES. ', <br/>, <br/>, <em>V. v. subcincta</em>, ' is recorded from Mananara-Nord National Park and Nosy Mangabe Special Reserve. ', <em>V. v. variegata</em>, ' is recorded from Zahamena National Park, and two nature reserves (Betampona and Zahamena) and from Ambatovaky and Marotandrano Special Reserves. ', <em>V. v. editorum</em>, ' is recorded from Mantadia National Park, Ranomafana National Park and Manombo Special Reserve. Now extirpated from Analamazaotra Special Reserve, and no longer reported from Andringitra National Park.', <br/>, <br/>, 'Manongarivo, to which it is not possible to assign a subspecies, is a Special Reserve. Fandriana (in the range of ', <em>V. v. editorum</em>, ') is in the process of becoming a national park. Unprotected forests such as Tolodoina, Vatovavy, Atialanankorendrina and Makira should be included in protected areas. ', <br/>, <br/>, 'In November 1997, ', <em>V. v. editorum</em>, ' born and raised in US zoological institutions were returned to Madagascar and released in the Betampona Reserve (Britt ', <em>et al.</em>, ' 2003). The study of this reintroduction effort is ongoing. An education campaign against hunting, using this species as a flagship, is recommended.\n\n    \n  ']",Decreasing,Critically Endangered,1,Varecia variegata,blackandwhite ruffed lemur ,Animalia,Chordata,Mammalia,Primates,Lemuridae,Varecia ,3 â?? 4.5 kg (2),As with other lemur species the black-and-white ruffed lemur is threatened by habitat loss through logging agriculture mining and other development in Madagascar (1) (7). When human activities encroach upon rainforest habitat this species is one of the first lemurs to disappear (1). Hunting also threatens this rare primate; unfortunately its large size and daylight activity pattern makes it an attractive target and it is among the most heavily hunted of all Madagascarâ??s lemurs (1).,The black-and-white ruffed lemur occurs in a number of protected areas such as Mananara-Nord National Park Zahamena National Park and Mantadia National Park. Although sadly this Critically Endangered species has also vanished from other areas such as Analamazaotra Special Reserve and Andringitra National Park and other forests urgently require protection if this species is to survive (1). The black-and-white lemur has been the subject of captive breeding efforts with a number being reintroduced to Madagascarâ??s Betampona Reserve between 1997 and 2001 (1) (9). Unfortunately this has had limited success as animals that have not grown up in the wild typically have great difficulty adapting (9). Reintroduction is a long and costly process (9) and is rendered worthless if there is no safe natural habitat in which they can be released into. Thus hopefully efforts to protect Madagascarâ??s habitats by numerous conservation organisations will be successful. ,loss;hunting; ,captive breeding;protected; ,Critically Endangered,['Cape Verde'],1,2,
595,8563994,"burmese starred tortoise, flatback tortoise",Testudinidae,,Myanmar; ,,['\n    It is listed on CITES Appendix II.\n\n    \n  '],,Critically Endangered,1,Geochelone platynota,burmese starred tortoise ,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Geochelone ,Carapace length: 26 cm (2),Like many turtles and tortoises of Southeast Asia the Burmese star tortoise has undergone dramatic declines due to the increasing demand in the Asian market in which it is sold for its meat and perceived medicinal value (9). Although â??subsistenceâ?? gathering of the species has occurred for hundreds of years by native people together with collection for its yellow-rayed <strong>carapace</strong> which is used for a container for cooking oil seeds etc. the impact was relatively small and sustainable. In recent years however subsistence has been replaced by mass commercial harvesting as the price of this species skyrocketed in the Asian markets (primarily Taiwan and China) (8). The tortoise has also been hard hit recently by the illegal international pet trade often ending up in European and North American collections (9). With their distinctive markings and dramatic colours these tortoises are attractive to collectors and their rarity makes them particularly valuable (10). Indeed adults can fetch up to US$7000 each from private collectors in the Western world (10) and this high price and demand encourages overexploitation of wild populations (5). Habitat destruction and wild fires also pose a threat to these tortoises particularly to smaller individuals (5).,The Burmese star tortoise exists in two protected areas Shwe Settaw Wildlife Sanctuary and Minzontaung Wildlife Sanctuary and an area proposed for protected status Myaleik Taung. At the Minzontaung Wildlife Sanctuary and Myaleik Taung the species is protected by local religious beliefs that deem it bad luck to collect the tortoises and commercial poaching is so far virtually non-existent. The Sanctuary is also well patrolled by guards with access strictly controlled and wild fires are managed. The Minzontaung Wildlife Sanctuary and Myaleik Taung therefore offer excellent potential for the successful conservation of the Burmese star tortoise (5). Sadly the Shwe Settaw Wildlife Sanctuary does not seem to be faring so well which has recently been reduced by around 30% due to the sale of a large tract to an agricultural development consortium. Subsistence and commercial harvest from the Sanctuary is commonplace with one village trader admitting to collecting 300 individuals in 6 months and there being at least one trader in every village. The Burmese star tortoise is fully protected by law and it is a capital offence to remove them from the wild. However the Myanmar Government reportedly ignore the capture and sale of these tortoises or are easily bribed with rampant civil war and radical guerrilla soldiers near the borders deterring police involvement there. A captive breeding programme has been set up at the Shwe Settaw Wildlife Sanctuary but hybridisation with <i>Indotestudo elongata</i> in a shared fenced area has been common. There is also evidence that this area is quickly grazed and tortoises here starve to death at an alarming rate. Stricter enforcement of protection laws is desperately needed and more effective management protocols at this Sanctuary but as long as a lucrative market exists tortoise hunting is likely to remain an attractive economic option for rural people (8). One suggestion has been to promote the significance of rural religious beliefs for the benefit of tortoise conservation in this area which has helped protect this beautiful species so effectively in the Minzontaung Wildlife Sanctuary and Myaleik Taung (5). However in a financially depressed society such as this the economic lure of such profitable natural resources may sadly win out (8). ,pet; ,protection law;captive breeding;protected; ,Critically Endangered,"['Guinea', 'Gabon']",2,1,
598,5036746,murray hardyhead,Atherinidae,Freshwater,"Australia (New South Wales, South Australia, Victoria); ",,,,Endangered,1,Craterocephalus fluviatilis,murray hardyhead ,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Craterocephalus ,Length at birth: 9 - 19 mm (2)Adult length: up to 75 mm (2),The most significant threat to the Murray hardyhead is the lack of water (4) (6). Increasingly prolonged periods of dry conditions in the Murray-Darling basin have led to many important sites drying up or salinity levels becoming too high (2) (4). The Murray hardyhead is now thought to be extinct in the New South Wales (7) and further population declines are predicted throughout the remaining range (6).,The most significant threat to the Murray hardyhead is the lack of water (4) (6). Increasingly prolonged periods of dry conditions in the Murray-Darling basin have led to many important sites drying up or salinity levels becoming too high (2) (4). The Murray hardyhead is now thought to be extinct in the New South Wales (7) and further population declines are predicted throughout the remaining range (6). ,invasive;pet; , ,Endangered,[],0,2,
617,5517359,panay monitor lizard,Varanidae,Terrestrial,Philippines; ,"
    The species is considered to be very threatened by the loss and degradation of its lowland forest habitat, through conversion of land to agricultural use and logging operations. In addition to the threat of habitat loss, this lizard is a favourite food animal, possibly related to its frugivorous diet, and overhunting represents a serious threat to the species.

    
  ","['\n    There are ongoing projects on Panay to conserve remaining areas of suitable habitat, and on the biology and habitat requirements of this lizard, run by non-governmental organizations (Biologische Patenschaften e.V., Eschborn [BIOPAT] and Philippine Endemic Species Conservation Project [PESCP]). The species is present in the Central Panay and North West Panay protected areas. It is listed on Appendix II of CITES.\n\n    \n  ']",Decreasing,Endangered,1,Varanus mabitang,panay monitor lizard ,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus ,1 - 8 kg (2),Habitat loss and fragmentation are the main threats to the Panay monitor lizard. Its lowland forest habitat is being lost to conversion for agricultural use and to logging operations (1) (2) and is now the most endangered ecosystem on Panay (2).,On the island of Panay non-governmental organisations are running ongoing projects to conserve the remaining suitable habitat for the Panay monitor lizard and to study its biology and habitat requirements. These organisations include Patenschaften f�?¼r Biologische Vielfalt e.V. (BIOPAT) and the Panay Eco-Social Conservation Project (PanayCon) (1) (7) (8). ,loss;fragmentation;hunting; ,cites;protected; ,Endangered,"['Canada', 'South Africa', 'United States']",3,3,1.0
646,8697288,catalina mahogany,Rosaceae,,United States (California); ,,,,Critically Endangered,1,Cercocarpus traskiae,catalina mahogany ,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Cercocarpus ,Height: 3 - 7 m (2)Trunk diameter: c. 20 cm (2),Historically a major threat to the Catalina mahogany was the introduction of <strong>herbivores</strong> such as goats deer and pigs to Santa Catalina Island. Goats and deer ate the seedling shoots and the leaves of the tree while pigs rooting through the ground destroyed seedlings and the roots (6).,Conservation efforts began in the 1970s with a detailed inventory of the remaining Catalina mahogany plants (8). In 1999 the entire Wild Boar Gully area was fenced off enclosing 45 hectares (4). This action was successful and resulted in the numbers of seedlings and saplings increasing year after year reaching a peak of 113 individuals in 2002. However it is not known what portion of these seedlings and saplings are the Catalina mahogany and which are <strong>hybrids</strong> (6). ,loss;invasive; , ,Critically Endangered,"['Bangladesh', 'Laos', 'Cambodia', 'Thailand', 'India', 'Nepal', 'Malaysia']",7,2,1.0
654,2596143,"celebes tortoise, forstens tortoise, travancore tortoise",Testudinidae,,Indonesia; ,,['\n    It is listed on CITES Appendix II.\n\n    \n  '],,Endangered,1,Indotestudo forstenii,forstens tortoise ,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Indotestudo ,2.5 kg (2),The destruction of habitat on the islands of Sulawesi and Halmahera is greatly threatening the survival of this tortoise which has a highly restricted range (2). In addition tortoises are hunted both for their meat and to supply the pet trade (1).,International trade in Forsten's tortoise is restricted by its listing on Appendix II of the Convention on International Trade in Endangered Species (CITES) (3). More effective protection of both its habitat and its population is required however if the future of this Asian tortoise is to be secured. ,pet; ,cites; ,Endangered,"['Bhutan', 'Nepal', 'China', 'India']",4,1,1.0
655,463646,aurelios rock lizard,Lacertidae,Terrestrial,Andorra; France; Spain; ,"
    This species is possibly threatened by overgrazing of habitat by cattle, collection of specimens, and is inferred to be threatened by future habitat loss through the development of ski resorts, lodges and hotels, the construction of roads and tracks, and the use of all terrain vehicles. It is additionally threatened by the possible development of hydroelectric projects and mining. It is possible that this species will be significantly impacted by climate change.

    
  ",['\n    This species is listed on Appendix III of the Bern Convention. It does not occur in any protected areas.\n\n    \n  '],Decreasing,Endangered,3,Iberolacerta aurelioi,aurelios rock lizard ,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Iberolacerta ,Snout-vent length: up to 6 cm (2),The rocky alpine habitat of Aurelioâ??s rock lizard is currently threatened by overgrazing by cattle and may face further pressure in the future from the development of ski resorts and the associated building of roads and tracks (1).  The IUCN who assessed the conservation status of this lizard also state the possible development of hydroelectric projects and mining as a future threat to this species (1).  The low reproductive potential of Aurelioâ??s rock lizard and its restricted distribution only act to enhance the devastating effects that such threats may have on the population (3).,Aurelioâ??s rock lizard is listed on Appendix III of the Bern Convention a convention which aims to conserve wild flora and fauna and their natural habitats and to promote European co-operation in that field (4).  Wild animal species on Appendix III are protected but can be exploited if regulated in accordance with the convention (4).  It is yet to be seen whether this level of protection is sufficient to ensure the survival of this Endangered reptile. , ,protected; ,Endangered,"['Gibraltar', 'Morocco', 'Philippines', 'Algeria', 'United Kingdom']",5,0,1.0
659,8642587,,Lucanidae,,South Africa; ,,,,Critically Endangered,1,Colophon primosi,cape stag beetle ,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Colophon ,,Collectors appear to pose the greatest threat to this enigmatic group of beetles (4) (6). The Cape stag beetles are amongst the most highly prized beetles on the market (7) with complete sets of <i>Colophon</i> species fetching upward of $10000 and even single specimens of the rarest species being advertised at several thousand dollars (3). Four Germans have recently been caught having captured 211 of these beetles (5). Other threats include habitat damage and loss infrastructure development (such as mobile telephone masts) inappropriate fire regimes human disturbance climate change and over-collection by researchers (4). These threats are exacerbated by the small range occupied by this genus and their suspected low reproductive rate (4).,All <i>Colophon</i> species were given provincial legal protection in 1992 which served to limit legal collection internal trade and export from the province (7) (3). Their listing on Appendix III of CITES also controls import and export of the species across South Africaâ??s borders (2). These laws appear to be fairly rigorously enforced with the four Germans recently caught with over 200 of these rare beetles fined almost �?£10000 (5). In 1994 it was proposed that <i>Colophon</i> beetles be upgraded to Appendix I of CITES but the proposal was ultimately withdrawn (7). The upgrade of <i>Colophon</i> beetles to Appendix I would certainly help their chances of future survival and should be seriously considered in the ongoing objective to protect these rare <strong>endemic</strong> beetles. ,loss; ,cites; ,Critically Endangered,"['Russia', 'Iran', 'China', 'India']",4,1,1.0
669,9100153,delacours langur,Cercopithecidae,Terrestrial,Viet Nam; ,"
    Hunting for the purposes of traditional ""medicine"" is the primary threat facing this species; most of the populations that survive are heavily reduced and fragmented. Only the subpopulation at Van Long, with about 50 individuals, is thought likely to survive given the current hunting pressure; however, quarrying for limestone (cement), which is currently taking place there, has affected the ranging behaviour of the animals (T. Nadler pers. comm.). The smallest groups are extremely unlikely to survive should the one reproductively active male be taken or killed (Nadler 2004). Forest loss is a more minor threat as it occurs in degraded areas. A potential threat is the rapid development of tourist facilities adjacent to protected areas, especially around Van Long and Hoa Lu Nature Reserves.

    
  ","[""\n    This species is currently listed only as CITES Appendix II. It is considered 'endangered' in Viet Nam, and is listed as a 'most endangered' species under Annex 1B of Decree 32 (2006). It occurs in six protected areas, but many still experience high hunting pressure. Van Long Nature Reserve was established for this species in 2001, and there has been some evidence of population growth in this reserve in the past five years. The connection of forest fragments in some already protected areas, such as Van Long, could greatly increase the size and survivability of some subpopulations. Also considered as beneficial population management for this species are the translocation of severely threatened (small) groups to safe and suitable habitat, and the augmentation of existing groups with offspring from a captive population. Delacour's langurs have been successfully kept and bred in captivity at the Endangered Primate Rescue Center in Cuc Phuong National Park, Viet Nam, which is currently the only collection keeping this species (Nadler 2004). It is necessary to ensure the sustainability of these programs. The Provincial People's Committees need to be encouraged to mitigate against ongoing development activities that encroach upon protected areas where Delacour's langurs occur.\n\n    \n  ""]",Decreasing,Critically Endangered,1,Trachypithecus delacouri,delacours langur ,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Trachypithecus ,Male head-to-body length: 57 â?? 62 cm (2)Female head-to-body length: 57 â?? 59 cm (2)Mail tail length: 82 - 88 cm (2)Female tail length: 84 â?? 86 cm (2)Male weight: 7.5 â?? 10.5 kg (2)Female weight: 6.2 â?? 9.2 kg (2),With as few as 270 to 300 estimated individuals remaining in 19 isolated populations and 14 of these populations predicted to disappear in the next decade Delacourâ??s langur is dangerously close to extinction (1) (8). During the 1990s when Vietnam opened itself up to the international community and the Chinese economy started to boom traders and poachers moved in to utilise Vietnamâ??s biodiversity (4). Poachers killed this langur not only for meat but also for bones organs and tissues that are used in traditional medicines (8). Hunting has reduced in recent years with increasing legal protection but continues to pose a significant threat. Habitat loss is also a danger to this species with the World Conservation Monitoring Centre of the United Nations Environment Programme (UNEP-WCMC) estimating that a total of 30000 hectares of forest are destroyed each year in Vietnam (4). The clearing of forests to accommodate human commercial and residential growth continues to separate the remaining populations of Delacourâ??s langur which are now at risk of becoming too small to be viably sustainable (2). Sixty percent of Delacourâ??s langurs occur in isolated populations of fewer than 20 individuals. The loss of these sub-populations and consequently 60 percent of the whole population is feared likely in the near future without management strict regulations and law enforcement (5).,Four areas where Delacourâ??s langurs are protected include: Cuc Phuong National Park Pu Luong Nature Reserve Hoa Lu Cultural and Historical Site and the recently-established Van Long Nature Reserve which is believed to contain the largest remaining population of around 70 individuals (5) (8). Unfortunately protected areas often suffer more from poaching than unprotected areas because their dense population of wildlife is seen as more profitable (2). Thus conservation groups are working to increase the level of protection and law enforcement within these protected areas. The Van Long Nature Reserve is now well guarded by rangers largely funded by the Frankfurt Zoological Society. The Pu Luong Nature Reserve also employs a large number of rangers which are helping to save the small remaining populations (8). These are encouraging steps towards helping the survival of Delacourâ??s langur listed as one of the 25 most endangered primates in the world (8). Recent commitments by the Vietnamese government and several international conservation organisations to do more to protect Delacourâ??s langur have greatly increased the chances of saving this rare and remarkable species (2). ,loss;hunting;environment; ,protected; ,Critically Endangered,"['Bolivia', 'Uruguay']",2,3,1.0
677,8793518,"china alligator, chinese alligator",Alligatoridae,Terrestrial; Freshwater,"China (Anhui, Jiangsu, Zhejiang); ",,['\n    It is listed on CITES Appendix I.\n\n    \n  '],,Critically Endangered,1,Alligator sinensis,chinese alligator ,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator ,up to 40 kg (2),A survey by the Wildlife Conservation Society in 1999 found the wild population of Chinese alligators to be worryingly low: at 130 to 150 individuals (2). Habitat destruction has been the major cause of this decline and wetland areas continue to be modified for agriculture in an effort to cope with the intense human population pressure in the region (4). A highly secretive species spending a long period of time (6 to 7 months) below ground in burrows the Chinese alligator now primarily exists in populated areas where it inevitably comes into conflict with local farmers. Burrow systems cause drainage problems for fields and alligators also consume ducks owned by farmers (2). Despite a lack of commercial value for the Chinese alligator's skin on the international market these reptiles are often killed when encountered either through fear or due to a threat to livelihood (2).,In contrast to the decimated wild population the breeding of captive Chinese alligators has been very successful and the captive population currently exceeds 10000 individuals (2). The Anhui Research Centre of Chinese Alligator Reproduction (ARCCAR) was established in 1979 and houses captive-bred alligators within 26 small protected reserves (2). Any wild populations that remain are severely fragmented and almost none exist in their natural habitat (2). However the Chinese government has recently allocated funds to create new habitats with a view to introduce captive-bred alligators into the wild in three other provinces (2). This encouraging step needs the support of local people to make it a success; they will need to be convinced of the worth of living together with this ancient species that may have been associated with the mythical Chinese dragon. , ,protected; ,Critically Endangered,['United States'],1,0,1.0
678,5251546,,Cobitidae,Freshwater,Portugal; Spain; ,"
    Habitat destruction (due to gravel extraction), water pollution and introduction of exotic fish species (e.g., pike in the Duero river).

    
  ",['\n    Listed in the Appendix III of the Bern Convention.\n\n    \n  '],Decreasing,Endangered,2,Cobitis calderoni,northern iberian spinedloach ,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Cobitis ,Length: up to 8.2 cm (2),The Northern Iberian spined-loach has declined in abundance and range in recent decades and has now disappeared from parts of the Duero and Ebro rivers with remaining populations also becoming more fragmented. The main threats to the species include gravel and water extraction water pollution dam construction the destruction of <strong>spawning</strong> areas and the introduction of exotic fish such as pike (<em>Esox lucius</em>) which may act as predators competitors or vectors of disease (1) (2) (3) (6) (7).,The Northern Iberian spined-loach is listed as Vulnerable in the Spanish Red Book (3) and as Endangered in the Portuguese Red Book (7). It is also listed on Annex III of the Convention on the Conservation of European Wildlife and Natural Habitats (Bern Convention) (11). ,disease;pet;pollution; , ,Endangered,['Ethiopia'],1,3,1.0
681,9118003,delta green ground beetle,Carabidae,,United States; ,,,,Critically Endangered,1,Elaphrus viridis,delta green ground beetle ,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Elaphrus ,Length: 6 mm (2).,The historical distribution of the delta ground beetle is unknown but it is thought reasonable to assume that the species was once found throughout the wetlands and grasslands of Californiaâ??s Central Valley (4). The area has suffered widespread disruption and destruction of its wetland habitat from agricultural development tapping of vernal pools for irrigation of crops river channelisation and encroaching urban development all of which are thought to have played a role in the demise of this species (2) (4). Additionally an introduced alien plant garden lippia (<i>Phyla</i> spp.) poses an immediate threat to the speciesâ?? remaining range. The plant forms dense mats in vernal pools crowding out native vegetation and hindering the beetleâ??s foraging (2). Only around 75 individuals have been seen since 1974 and the speciesâ?? small range places it in very serious danger of extinction (4).,The delta green ground beetle is protected by the Lacey Act which prohibits its import export transport sale purchase receipt or acquisition (4). The beetle is also protected through its occurrence in the Jepson Prairie Reserve (5) but other suitable sites nearby are on private land and negotiations over their protection are ongoing (2). Since its life cycle is intricately intertwined with the seasonal changes of its vernal pool habitat conservation of the delta green ground beetle very much depends upon the protection of this habitat which is itself endangered (2). Thus protection of this disappearing habitat must be the top priority in the conservation of not only the delta ground beetle but also the array of other endangered species that are unique to and depend heavily upon this threatened vernal pool ecosystem. , ,protected; ,Critically Endangered,"['Angola', 'Equatorial Guinea', 'Gabon', 'Central African Republic', 'Cameroon']",5,0,1.0
688,6209871,"acklins ground iguana, central bahamian rock iguana, san salvador ground iguana, san salvador iguana, watling island iguana, white cay ground iguana",Iguanidae,,Bahamas; ,,['\n    It is listed on CITES Appendix I.\n\n    \n  '],,Endangered,1,Cyclura rileyi,san salvador iguana ,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Cyclura ,up to 1.25 kg (2),<i>Cyclura rileyi</i> is amongst the most threatened of the West Indian rock iguanas with two of its three recognised subspecies being listed as critically endangered by the IUCN and the third as endangered (6). One of the most devastating impacts has been the large-scale habitat destruction by European and American colonialists who cleared forests for conversion to agriculture and introduced many non-native plants and animals (6). The San Salvador iguana now has a relatively remote distribution away from most human settlements but a large and varied range of threats nevertheless continue to make their prospects of long-term survival tenuous (4) (8).,Since a number of surrounding cays as well as the mainland of San Salvador have very similar habitat to that currently used by the species reintroductions to parts of the iguanaâ??s former range are a viable and important focus of conservation efforts (4). An introduced population of Acklinâ??s iguanas (<i>C. r. nuchalis</i>) currently thrives on an island within the Exumas Land and Sea Park (6) and a successful translocation of five adult pairs of <i>C. r. rileyi</i> from Green Cay to Cut Cay took place in February 2005 funded by a 2004 grant from the International Iguana Foundation (7). Candidate cays for further reintroductions (and source of animals) include Barn Cay (from Guana Cay) Cato Cay (from Green Cay) and High Cay (from Low Cay). Corrective actions may first be required to render each cay suitable for reintroduction (e.g. removal of feral rats) and reintroduction of iguanas on the mainland should be undertaken only if large areas are protected particularly from the feral dogs and cats that are already numerous in local areas (4). ,poaching;disease; ,protected; ,Critically Endangered,['Mexico'],1,2,1.0
691,8681483,,Palmae,Terrestrial,Haiti; ,"
    The species is threatened by encroaching agriculture and local exploitation of the edible seeds.

    
  ","['\n    It is in cultivation at the Fairchild Tropical Garden, but the mature palms do not flower.\n\n    \n  ']",,Critically Endangered,1,Attalea crassispatha,carossier palm ,Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Attalea ,Hieght: up to 20 m (2),The conversion of habitat for agriculture has had a severe impact on <em>A. crassispatha</em> with slash and burn practices being especially unfavourable to natural regeneration (3) (4). In 1996 there were estimated to be less than 30 individuals remaining in the wild (1) (4) (5). Grazing by livestock on fruits and seedlings and a reduction in the abundance of seed dispersal agents is now limiting its ability to recover. Furthermore local people commonly harvest the immature seeds for food and cooking oil and the durable and insect resistant trunks are occasionally used in construction (3) (4) (5). Given the small size of its population <em>A. crassispatha</em> is also vulnerable to extreme natural events such as hurricanes (4) (5).,Conservation efforts for <em>A. crassispatha</em> have largely concentrated on planting palms and collecting seeds from adult plants in the wild (4). Probably the largest collection of the species is maintained at Fairchild Tropical Botanic Garden Miami Florida USA. However most of the palms in the collection are still too young to flower or fruit and of the few reproductively mature plants none have produced viable seed. As a result further research is needed to determine the possible causes of reproductive failure (5). During the 1990s numerous seedlings of <em>A. crassispatha</em> were also planted on the grounds of public buildings and private residences in Haiti in an effort to develop in-country <em>ex-situ</em> collections (4) (5). Unfortunately an assessment of the status of these seedlings is long overdue. , , ,Critically Endangered,['Egypt'],1,0,1.0
