,id,scientific_name,name,kingdom,phylum,class,order,family,genus,size,threats,conservation,threat_keywords,conservation_keywords,tCount,cCount
119,119,Manorina melanotis,blackeared miner ,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Manorina ,Length: 23 - 26 cm (2),The major cause of the black-eared miner decline is habitat loss and fragmentation. Much of the eucalypt mallee in its former range was cleared for agriculture in the early 20th century by European settlers (2). This habitat alteration has led to the closely related yellow-throated miner (<em>Manorina flavigula</em>) which favours disturbed and cleared habitatscolonising areas within the black-eared miner‚??s range and contact between the two species has led to <strong>hybridisation</strong>. Interbreeding between the two species is currently the greatest threat to the black-eared miner and there are now thought to be very few ‚??pure‚?? black-eared miner colonies left (2) (4).,Although currently classified as Endangered the black-eared miner has actually improved in conservations status since 1994 when it was classified as Critically Endangered. This improvement in status is due to the discovery of large populations in the Bookmark Biosphere Reserve and numerous conservation actions (5). ,loss;fragmentation; , ,2,0.0
120,120,Manorina melanotis,blackeared miner ,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Manorina ,Length: 23 - 26 cm (2),The major cause of the black-eared miner decline is habitat loss and fragmentation. Much of the eucalypt mallee in its former range was cleared for agriculture in the early 20th century by European settlers (2). This habitat alteration has led to the closely related yellow-throated miner (<em>Manorina flavigula</em>) which favours disturbed and cleared habitatscolonising areas within the black-eared miner‚??s range and contact between the two species has led to <strong>hybridisation</strong>. Interbreeding between the two species is currently the greatest threat to the black-eared miner and there are now thought to be very few ‚??pure‚?? black-eared miner colonies left (2) (4).,Although currently classified as Endangered the black-eared miner has actually improved in conservations status since 1994 when it was classified as Critically Endangered. This improvement in status is due to the discovery of large populations in the Bookmark Biosphere Reserve and numerous conservation actions (5). ,loss;fragmentation; , ,2,0.0
121,121,Platalea minor,blackfaced spoonbill ,Animalia,Chordata,Aves,Ciconiiformes,Threskiornithidae,Platalea ,Length: 76 cm (2),Habitat destruction in the form of the alteration and drainage of wetlands for aquaculture and industrial development is probably the biggest threat to the survival of the black-faced spoonbill (6). The small number of wintering sites means that the species is very vulnerable to any chance event that may occur particularly to the potentially catastrophic effects of pollution (6).,The black-faced spoonbill is protected in China Taiwan North Korea South Korea and Japan and a number of both breeding and wintering sites are protected as sanctuaries (2). An Action Plan for the species was produced in 1995 following an international workshop; the Wild Bird Society of Japan acts as the secretariat of the Black-faced Spoonbill Conservation Network (6). Educational and research programmes have been undertaken in a number of countries and an international census has been established and run by Hong Kong Bird Watching Society (4). ,pollution; ,protected; ,1,1.0
122,122,Mustela nigripes,blackfooted ferret ,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela ,Head-body length: 31 - 41 cm (2)Tail length: 11 - 15 cm (2)Male weight: 1 kg (3)Female weight: 0.8 kg (3),The number of black-footed ferrets plummeted in the first half of the 20th century primarily as a result of habitat loss. Prairies have been modified for intensive agriculture and there is now less than two percent of the original ferret habitat left (3). The ferret's main prey prairie dogs were systematically poisoned in vast tracts of their habitat by a government eradication programme in the mid 1900s (5). Prairie dog burrows were thought to damage cropland and ferret numbers fell in direct proportion with the dramatic decline of their prey (3). The final threat to black-footed ferret numbers and perhaps the most pertinent today is disease particularly canine distemper and plague (3). Plague introduced to North America causes even greater devastation in populations of prairie dogs and ferrets than it caused in human populations of Europe and Asia (8).,The black-footed ferret was thought to be extinct in the 1970s until a last population was discovered in Meeteetse Wyoming in 1981 (5). Under initial protection measures this population increased in numbers but then became infected by canine distemper and plague which threatened to completely wipe out the species (5). As a last resort the final 18 wild animals were caught and brought into captivity between 1985 and 1987 and a successful captive-breeding programme has been running ever since (3) (8). The US Fish and Wildlife Service's revised 'Black-Footed Ferret Recovery Plan' of 1988 prescribed the long-term target of establishing ten or more separate self-sustaining wild populations aiming to have 1500 ferrets in the wild by 2010 (9). As of 2008 populations had been reintroduced to 18 sites and with up to 250 wild born individuals distributed amongst several of these populations the black-footed ferret was reclassified by the IUCN moving from Extinct in the Wild to Endangered (1). While this is a fantastic conservation success story wild ferret populations remain small (1) and conservation will need to continue if this species‚?? future is to be secured. ,loss;disease; , ,2,0.0
123,123,Mustela nigripes,blackfooted ferret ,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela ,Head-body length: 31 - 41 cm (2)Tail length: 11 - 15 cm (2)Male weight: 1 kg (3)Female weight: 0.8 kg (3),The number of black-footed ferrets plummeted in the first half of the 20th century primarily as a result of habitat loss. Prairies have been modified for intensive agriculture and there is now less than two percent of the original ferret habitat left (3). The ferret's main prey prairie dogs were systematically poisoned in vast tracts of their habitat by a government eradication programme in the mid 1900s (5). Prairie dog burrows were thought to damage cropland and ferret numbers fell in direct proportion with the dramatic decline of their prey (3). The final threat to black-footed ferret numbers and perhaps the most pertinent today is disease particularly canine distemper and plague (3). Plague introduced to North America causes even greater devastation in populations of prairie dogs and ferrets than it caused in human populations of Europe and Asia (8).,The black-footed ferret was thought to be extinct in the 1970s until a last population was discovered in Meeteetse Wyoming in 1981 (5). Under initial protection measures this population increased in numbers but then became infected by canine distemper and plague which threatened to completely wipe out the species (5). As a last resort the final 18 wild animals were caught and brought into captivity between 1985 and 1987 and a successful captive-breeding programme has been running ever since (3) (8). The US Fish and Wildlife Service's revised 'Black-Footed Ferret Recovery Plan' of 1988 prescribed the long-term target of establishing ten or more separate self-sustaining wild populations aiming to have 1500 ferrets in the wild by 2010 (9). As of 2008 populations had been reintroduced to 18 sites and with up to 250 wild born individuals distributed amongst several of these populations the black-footed ferret was reclassified by the IUCN moving from Extinct in the Wild to Endangered (1). While this is a fantastic conservation success story wild ferret populations remain small (1) and conservation will need to continue if this species‚?? future is to be secured. ,loss;disease; , ,2,0.0
124,124,Mustela nigripes,blackfooted ferret ,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela ,Head-body length: 31 - 41 cm (2)Tail length: 11 - 15 cm (2)Male weight: 1 kg (3)Female weight: 0.8 kg (3),The number of black-footed ferrets plummeted in the first half of the 20th century primarily as a result of habitat loss. Prairies have been modified for intensive agriculture and there is now less than two percent of the original ferret habitat left (3). The ferret's main prey prairie dogs were systematically poisoned in vast tracts of their habitat by a government eradication programme in the mid 1900s (5). Prairie dog burrows were thought to damage cropland and ferret numbers fell in direct proportion with the dramatic decline of their prey (3). The final threat to black-footed ferret numbers and perhaps the most pertinent today is disease particularly canine distemper and plague (3). Plague introduced to North America causes even greater devastation in populations of prairie dogs and ferrets than it caused in human populations of Europe and Asia (8).,The black-footed ferret was thought to be extinct in the 1970s until a last population was discovered in Meeteetse Wyoming in 1981 (5). Under initial protection measures this population increased in numbers but then became infected by canine distemper and plague which threatened to completely wipe out the species (5). As a last resort the final 18 wild animals were caught and brought into captivity between 1985 and 1987 and a successful captive-breeding programme has been running ever since (3) (8). The US Fish and Wildlife Service's revised 'Black-Footed Ferret Recovery Plan' of 1988 prescribed the long-term target of establishing ten or more separate self-sustaining wild populations aiming to have 1500 ferrets in the wild by 2010 (9). As of 2008 populations had been reintroduced to 18 sites and with up to 250 wild born individuals distributed amongst several of these populations the black-footed ferret was reclassified by the IUCN moving from Extinct in the Wild to Endangered (1). While this is a fantastic conservation success story wild ferret populations remain small (1) and conservation will need to continue if this species‚?? future is to be secured. ,loss;disease; , ,2,0.0
125,125,Pipile jacutinga,blackfronted pipingguan ,Animalia,Chordata,Aves,Galliformes,Cracidae,Pipile ,1.1 ‚?? 1.4 kg (2),The black-fronted piping-guan is one of the most prized game birds of the Atlantic forest. Although it is illegal to hunt this species remaining populations are threatened by poaching even in protected areas.  Compounding the threat of hunting is the impact of habitat loss (2) (4).  90 percent of the Atlantic forest has already been cleared leaving little habitat for the black-fronted piping-guan (5). Remaining forest patches are under threat from legal and illegal conversion to agriculture and the construction of hydro-electric dams (2) (4).,The black-fronted piping-guan is protected by law in Brazil but this has little impact on the rate of poaching there. Similarly it is found in several state parks and reserves including Urugua-√≠ Provincial Park and Iguaz√∫ National Park both in Misiones but the security offered by these has had little effect on bolstering the species‚?? numbers. There are several captive breeding programmes which have had some success but reintroduction has so far been unsuccessful.  Awareness campaigns and the enforcement of anti-poaching measures seem to be the best hope for this species with regular surveying to follow its progress (2) (4). ,loss;hunting;poaching; ,captive breeding;protected; ,3,2.0
126,126,Pipile jacutinga,blackfronted pipingguan ,Animalia,Chordata,Aves,Galliformes,Cracidae,Pipile ,1.1 ‚?? 1.4 kg (2),The black-fronted piping-guan is one of the most prized game birds of the Atlantic forest. Although it is illegal to hunt this species remaining populations are threatened by poaching even in protected areas.  Compounding the threat of hunting is the impact of habitat loss (2) (4).  90 percent of the Atlantic forest has already been cleared leaving little habitat for the black-fronted piping-guan (5). Remaining forest patches are under threat from legal and illegal conversion to agriculture and the construction of hydro-electric dams (2) (4).,The black-fronted piping-guan is protected by law in Brazil but this has little impact on the rate of poaching there. Similarly it is found in several state parks and reserves including Urugua-√≠ Provincial Park and Iguaz√∫ National Park both in Misiones but the security offered by these has had little effect on bolstering the species‚?? numbers. There are several captive breeding programmes which have had some success but reintroduction has so far been unsuccessful.  Awareness campaigns and the enforcement of anti-poaching measures seem to be the best hope for this species with regular surveying to follow its progress (2) (4). ,loss;hunting;poaching; ,captive breeding;protected; ,3,2.0
127,127,Sterna albostriata,blackfronted tern ,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna ,88 ‚?? 96 g (2),Numbers of the black-fronted tern have decreased dramatically in the last forty years; there used to be tens of thousands and now there are about 5000 birds. Increased disturbance of breeding colonies is one of the main reasons of this decline caused by greater numbers of people animals and vehicles around rivers. Unfortunately black-footed terns will swiftly abandon their eggs and young if their breeding site is disturbed resulting in a very low number of chicks reaching maturity (5).,There are a number of measures currently in place to help halt the decline of this endangered tern. Project River Recovery managed by New Zealand‚??s Department of Conservation is a restoration programme for the wildlife and plants of the braided rivers and wetlands around Twizel Tekapo and Omarama (8). As part of the project the Mackenzie River Basin is receiving protection and willows are being removed to restore the breeding habitat of black-fronted terns (7). Information signs have been erected close to large black-fronted tern colonies which aim to educate the public about the best way to enjoy and use the river while minimising the negative impacts on the birds (5). , , ,0,0.0
128,128,Sterna albostriata,blackfronted tern ,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna ,88 ‚?? 96 g (2),Numbers of the black-fronted tern have decreased dramatically in the last forty years; there used to be tens of thousands and now there are about 5000 birds. Increased disturbance of breeding colonies is one of the main reasons of this decline caused by greater numbers of people animals and vehicles around rivers. Unfortunately black-footed terns will swiftly abandon their eggs and young if their breeding site is disturbed resulting in a very low number of chicks reaching maturity (5).,There are a number of measures currently in place to help halt the decline of this endangered tern. Project River Recovery managed by New Zealand‚??s Department of Conservation is a restoration programme for the wildlife and plants of the braided rivers and wetlands around Twizel Tekapo and Omarama (8). As part of the project the Mackenzie River Basin is receiving protection and willows are being removed to restore the breeding habitat of black-fronted terns (7). Information signs have been erected close to large black-fronted tern colonies which aim to educate the public about the best way to enjoy and use the river while minimising the negative impacts on the birds (5). , , ,0,0.0
129,129,Ateles geoffroyi,blackhanded spider monkey ,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles ,Male head-and-body length: 39 ‚?? 63 cm (2)Female head-and-body length: 31 ‚?? 45 cm (2)Male tail length: 70 - 86 cm (2)Female tail length: 64 ‚?? 75 cm (2)Male weight: 7.4 ‚?? 9 kg (2)Female weight: 6 ‚?? 8 kg (2),The black-handed spider monkey which depends upon large areas of tall forest has suffered from habitat destruction through deforestation and conversion to agricultural lands (7) (8). The species is also hunted for food and the pet trade in Central America becoming locally extinct in most areas that are accessible to man (7) (8). Unfortunately the species is a rather vulnerable target due to its conspicuously large group numbers and noisy habits making it easy to find (8).,A Species Survival Plan has been created for the black-handed spider monkey which involves a cooperative breeding programme between a number of zoos working together to ensure the survival of the species (10). However although this monkey is classified overall as Least Concern on the IUCN Red List several <strong>subspecies</strong> are classified as Endangered or Critically Endangered and more <glos><i>in-situ</i></glos> conservation is needed if these <strong>subspecies</strong> are to be given a good chance of long-term survival in the wild. ,pet; , ,1,0.0
130,130,Ateles geoffroyi,blackhanded spider monkey ,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles ,Male head-and-body length: 39 ‚?? 63 cm (2)Female head-and-body length: 31 ‚?? 45 cm (2)Male tail length: 70 - 86 cm (2)Female tail length: 64 ‚?? 75 cm (2)Male weight: 7.4 ‚?? 9 kg (2)Female weight: 6 ‚?? 8 kg (2),The black-handed spider monkey which depends upon large areas of tall forest has suffered from habitat destruction through deforestation and conversion to agricultural lands (7) (8). The species is also hunted for food and the pet trade in Central America becoming locally extinct in most areas that are accessible to man (7) (8). Unfortunately the species is a rather vulnerable target due to its conspicuously large group numbers and noisy habits making it easy to find (8).,A Species Survival Plan has been created for the black-handed spider monkey which involves a cooperative breeding programme between a number of zoos working together to ensure the survival of the species (10). However although this monkey is classified overall as Least Concern on the IUCN Red List several <strong>subspecies</strong> are classified as Endangered or Critically Endangered and more <glos><i>in-situ</i></glos> conservation is needed if these <strong>subspecies</strong> are to be given a good chance of long-term survival in the wild. ,pet; , ,1,0.0
131,131,Pygathrix nigripes,blackshanked douc ,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Pygathrix ,Head-body length: 55 ‚?? 63 cm (2)Tail length: 57 ‚?? 73 cm (2)Male weight: 11 kg (2)Female weight: 8 kg (2),Vietnam has been subject to rapid human population growth and has now lost 80 percent of its historical forest cover. The Vietnamese government has a policy of relocating landless northerners to the central highlands thereby subjecting the remaining forests to clearance and commercial logging. In addition the black-shanked douc is hunted for meat and for trade in the traditional Chinese ‚??medicine‚?? industry. Populations of doucs are increasingly fragmented reducing the opportunity for gene flow which prevents <strong>inbreeding depression</strong> (2).,Whilst the black-shanked douc occurs in many wildlife reserves and national parks and is protected by at least 11 national laws law enforcement is weak and reserves are poorly guarded. This species is difficult to keep in captivity but captive breeding programs at San Diego and Cologne Zoo have been successful (2). , ,captive breeding;protected; ,0,2.0
132,132,Pygathrix nigripes,blackshanked douc ,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Pygathrix ,Head-body length: 55 ‚?? 63 cm (2)Tail length: 57 ‚?? 73 cm (2)Male weight: 11 kg (2)Female weight: 8 kg (2),Vietnam has been subject to rapid human population growth and has now lost 80 percent of its historical forest cover. The Vietnamese government has a policy of relocating landless northerners to the central highlands thereby subjecting the remaining forests to clearance and commercial logging. In addition the black-shanked douc is hunted for meat and for trade in the traditional Chinese ‚??medicine‚?? industry. Populations of doucs are increasingly fragmented reducing the opportunity for gene flow which prevents <strong>inbreeding depression</strong> (2).,Whilst the black-shanked douc occurs in many wildlife reserves and national parks and is protected by at least 11 national laws law enforcement is weak and reserves are poorly guarded. This species is difficult to keep in captivity but captive breeding programs at San Diego and Cologne Zoo have been successful (2). , ,captive breeding;protected; ,0,2.0
133,133,Pygathrix nigripes,blackshanked douc ,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Pygathrix ,Head-body length: 55 ‚?? 63 cm (2)Tail length: 57 ‚?? 73 cm (2)Male weight: 11 kg (2)Female weight: 8 kg (2),Vietnam has been subject to rapid human population growth and has now lost 80 percent of its historical forest cover. The Vietnamese government has a policy of relocating landless northerners to the central highlands thereby subjecting the remaining forests to clearance and commercial logging. In addition the black-shanked douc is hunted for meat and for trade in the traditional Chinese ‚??medicine‚?? industry. Populations of doucs are increasingly fragmented reducing the opportunity for gene flow which prevents <strong>inbreeding depression</strong> (2).,Whilst the black-shanked douc occurs in many wildlife reserves and national parks and is protected by at least 11 national laws law enforcement is weak and reserves are poorly guarded. This species is difficult to keep in captivity but captive breeding programs at San Diego and Cologne Zoo have been successful (2). , ,captive breeding;protected; ,0,2.0
134,134,Atlapetes melanopsis,blackspectacled brushfinch ,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Atlapetes ,Length: 17.5 - 19 cm (2) (3),With its small range and fragmented distribution the main threat facing the black-spectacled brush-finch is habitat loss with areas of scrub and forest being burnt to create and maintain pastureland. However it is unlikely that this rate of habitat destruction is increasing as humans are steadily leaving the region for larger towns and cities (2) (4).,There are currently no known conservation measures in place for the black-spectacled brush-finch. However it has been proposed that this species would benefit from further research to give a better understanding of its population size and requirements as well as from measures to ensure that at least some of its habitat receives protection (2). ,loss; , ,1,0.0
135,135,Ketupa blakistoni,blakistons fish owl ,Animalia,Chordata,Aves,Strigiformes,Strigidae,Ketupa ,Length: 60 ‚?? 72 cm (2),Habitat loss is the major cause of the decline in Blakiston‚??s fish owl numbers that has been documented throughout its range (5). Logging of these old forests has been rife and continues to threaten remaining populations today. These owls are targeted by hunters in Russia as they are believed to spoil the fur of trapped animals (5). The depletion of fish numbers through overfishing is also a pertinent threat to this bird of prey (5).,Blakiston‚??s fish owl is legally protected in all of the countries within which it is found and occurs within a number of protected areas (2). On Hokkaido nest boxes and supplementary feeding regimes have been in place since 1984 and a captive breeding and release programme is also underway (5). Without the provision of adequate habitat however these measures are ultimately ineffective (5). It has been suggested that a National Park should be created in northern Russia which could help to secure some of the habitat in this region (5). ,loss;fishing;overfishing; ,captive breeding;protected; ,3,2.0
136,136,Eulamprus leuraensis,blue mountains water skink ,Animalia,Chordata,Reptilia,Squamata,Scincidae,Eulamprus ,up to 10 g (2),Restricted to a very specific habitat dependant on delicate associations between the fauna and flora and the water hydrology the Blue Mountains water skink has probably never been abundant.†However as a result of an increasing human population encroaching upon its habitat it has become threatened and today has a very small population (1) (2).†Relict populations are extremely isolated and fragmented and therefore highly vulnerable to habitat degradation especially as the majority of Blue Mountains water skink populations are surrounded by urban development (2). Pollution from rubbish disposal commercial run-off and septic discharge is a particular problem at several locations and can lead to nitrification promoting weed infestations.†Earthworks for the establishment of sewage pipelines and poor erosion control mechanisms has also resulted in sedimentation causing swamps to dry up.†Furthermore the Blue Mountains water skink‚??s range is intersected by corridors of powerlines and their servicing has been identified as an additional threat through the slashing burning and spraying of pesticides that is required to gain maintenance access (4).†††††,With high levels of <strong>endemism</strong> and large numbers of threatened species the Blue Mountains home to the Blue Mountains water skink is a region of major conservation importance.†Recognising this the Australian government has afforded this region extra protection beginning in 1959 with the creation of the Blue Mountains National Park and most recently the creation of the UNESCO Greater Blue Mountains World Heritage Area in 2000 (9) (10).† ,pollution; , ,1,0.0
137,137,Eulamprus leuraensis,blue mountains water skink ,Animalia,Chordata,Reptilia,Squamata,Scincidae,Eulamprus ,up to 10 g (2),Restricted to a very specific habitat dependant on delicate associations between the fauna and flora and the water hydrology the Blue Mountains water skink has probably never been abundant.†However as a result of an increasing human population encroaching upon its habitat it has become threatened and today has a very small population (1) (2).†Relict populations are extremely isolated and fragmented and therefore highly vulnerable to habitat degradation especially as the majority of Blue Mountains water skink populations are surrounded by urban development (2). Pollution from rubbish disposal commercial run-off and septic discharge is a particular problem at several locations and can lead to nitrification promoting weed infestations.†Earthworks for the establishment of sewage pipelines and poor erosion control mechanisms has also resulted in sedimentation causing swamps to dry up.†Furthermore the Blue Mountains water skink‚??s range is intersected by corridors of powerlines and their servicing has been identified as an additional threat through the slashing burning and spraying of pesticides that is required to gain maintenance access (4).†††††,With high levels of <strong>endemism</strong> and large numbers of threatened species the Blue Mountains home to the Blue Mountains water skink is a region of major conservation importance.†Recognising this the Australian government has afforded this region extra protection beginning in 1959 with the creation of the Blue Mountains National Park and most recently the creation of the UNESCO Greater Blue Mountains World Heritage Area in 2000 (9) (10).† ,pollution; , ,1,0.0
138,138,Eulamprus leuraensis,blue mountains water skink ,Animalia,Chordata,Reptilia,Squamata,Scincidae,Eulamprus ,up to 10 g (2),Restricted to a very specific habitat dependant on delicate associations between the fauna and flora and the water hydrology the Blue Mountains water skink has probably never been abundant.†However as a result of an increasing human population encroaching upon its habitat it has become threatened and today has a very small population (1) (2).†Relict populations are extremely isolated and fragmented and therefore highly vulnerable to habitat degradation especially as the majority of Blue Mountains water skink populations are surrounded by urban development (2). Pollution from rubbish disposal commercial run-off and septic discharge is a particular problem at several locations and can lead to nitrification promoting weed infestations.†Earthworks for the establishment of sewage pipelines and poor erosion control mechanisms has also resulted in sedimentation causing swamps to dry up.†Furthermore the Blue Mountains water skink‚??s range is intersected by corridors of powerlines and their servicing has been identified as an additional threat through the slashing burning and spraying of pesticides that is required to gain maintenance access (4).†††††,With high levels of <strong>endemism</strong> and large numbers of threatened species the Blue Mountains home to the Blue Mountains water skink is a region of major conservation importance.†Recognising this the Australian government has afforded this region extra protection beginning in 1959 with the creation of the Blue Mountains National Park and most recently the creation of the UNESCO Greater Blue Mountains World Heritage Area in 2000 (9) (10).† ,pollution; , ,1,0.0
139,139,Hymenolaimus malacorhynchos,blue duck ,Animalia,Chordata,Aves,Anseriformes,Anatidae,Hymenolaimus ,Length: 53 cm (2)Male weight: 1000 g (3)Female weight: 800 g (3),Habitat loss has been one of the major causes of decline in this species. The clearance and grazing of riverside vegetation has led to the depletion of water quality in many rivers and has restricted the blue duck to less accessible mountainous areas. Predation by introduced mammals such as stoats and competition with introduced trout may also have played a part in the decrease and fragmentation of this species‚?? range (2).,The New Zealand Department of Conservation published a Blue Duck Recovery Plan in 1997 in an effort to secure the survival of this species in the wild and to downgrade its current threat status. Some of the conservation measures involved include captive breeding and release attempts and the protection of key areas of habitat. Ongoing population monitoring is also a priority in the conservation of this attractive waterbird (4). ,loss;fragmentation;pet; ,captive breeding; ,3,1.0
140,140,Hymenolaimus malacorhynchos,blue duck ,Animalia,Chordata,Aves,Anseriformes,Anatidae,Hymenolaimus ,Length: 53 cm (2)Male weight: 1000 g (3)Female weight: 800 g (3),Habitat loss has been one of the major causes of decline in this species. The clearance and grazing of riverside vegetation has led to the depletion of water quality in many rivers and has restricted the blue duck to less accessible mountainous areas. Predation by introduced mammals such as stoats and competition with introduced trout may also have played a part in the decrease and fragmentation of this species‚?? range (2).,The New Zealand Department of Conservation published a Blue Duck Recovery Plan in 1997 in an effort to secure the survival of this species in the wild and to downgrade its current threat status. Some of the conservation measures involved include captive breeding and release attempts and the protection of key areas of habitat. Ongoing population monitoring is also a priority in the conservation of this attractive waterbird (4). ,loss;fragmentation;pet; ,captive breeding; ,3,1.0
141,141,Hymenolaimus malacorhynchos,blue duck ,Animalia,Chordata,Aves,Anseriformes,Anatidae,Hymenolaimus ,Length: 53 cm (2)Male weight: 1000 g (3)Female weight: 800 g (3),Habitat loss has been one of the major causes of decline in this species. The clearance and grazing of riverside vegetation has led to the depletion of water quality in many rivers and has restricted the blue duck to less accessible mountainous areas. Predation by introduced mammals such as stoats and competition with introduced trout may also have played a part in the decrease and fragmentation of this species‚?? range (2).,The New Zealand Department of Conservation published a Blue Duck Recovery Plan in 1997 in an effort to secure the survival of this species in the wild and to downgrade its current threat status. Some of the conservation measures involved include captive breeding and release attempts and the protection of key areas of habitat. Ongoing population monitoring is also a priority in the conservation of this attractive waterbird (4). ,loss;fragmentation;pet; ,captive breeding; ,3,1.0
142,142,Cyprinella caerulea,blue shiner ,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella ,Maximum size: 10 cm (2),Numbering no more than 2500 individuals the blue shiner population is suspected to have undergone a dramatic decline although the factors responsible for this are not entirely clear (5) (6). A decrease in water quality was probably the most significant agent as the loss of the species from the Cahaba River coincided with an increase in nitrogen and phosphorous caused by sewage discharge. This led to higher algal biomass and decreased levels of dissolved oxygen in the water (4) (5). The blue shiner is also threatened by increased siltation as it relies on sight to detect its prey while in Georgia urbanisation and resulting pollution and water extraction threatens the species‚?? habitat. In many areas the blue shiner now exists in small highly fragmented populations which are more vulnerable to habitat degradation and a loss of <strong>genetic diversity</strong> greatly increasing the species‚?? extinction risk (5) (7).,The future of the blue shiner very much depends on the protection of its habitat particularly the Conasauga River. Fortunately for this rare species efforts are underway to protect this fragile environment. The Nature Conservancy is working with private landowners and government agencies to protect the Conasauga River and conserve the populations of rare and endangered fish that inhabit its waters (5) (8). The National Resources Conservation Service is also working to protect <strong>riparian</strong> habitat around the Conasauga River and to tackle threats (5) (9). The blue shiner will also benefit from further studies into its ecology threats and population trends (5). ,loss;pollution; , ,2,0.0
143,143,Cyprinella caerulea,blue shiner ,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella ,Maximum size: 10 cm (2),Numbering no more than 2500 individuals the blue shiner population is suspected to have undergone a dramatic decline although the factors responsible for this are not entirely clear (5) (6). A decrease in water quality was probably the most significant agent as the loss of the species from the Cahaba River coincided with an increase in nitrogen and phosphorous caused by sewage discharge. This led to higher algal biomass and decreased levels of dissolved oxygen in the water (4) (5). The blue shiner is also threatened by increased siltation as it relies on sight to detect its prey while in Georgia urbanisation and resulting pollution and water extraction threatens the species‚?? habitat. In many areas the blue shiner now exists in small highly fragmented populations which are more vulnerable to habitat degradation and a loss of <strong>genetic diversity</strong> greatly increasing the species‚?? extinction risk (5) (7).,The future of the blue shiner very much depends on the protection of its habitat particularly the Conasauga River. Fortunately for this rare species efforts are underway to protect this fragile environment. The Nature Conservancy is working with private landowners and government agencies to protect the Conasauga River and conserve the populations of rare and endangered fish that inhabit its waters (5) (8). The National Resources Conservation Service is also working to protect <strong>riparian</strong> habitat around the Conasauga River and to tackle threats (5) (9). The blue shiner will also benefit from further studies into its ecology threats and population trends (5). ,loss;pollution; , ,2,0.0
144,144,Balaenoptera musculus,blue whale ,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera ,100 - 120 tonnes (3),Because of its enormous size and speed the blue whale was largely safe from early whalers who could not pursue it in open boats with hand harpoons. However the advent of the exploding harpoon gun in 1868 allowed for the commercial exploitation of this species with the whaling industry particularly focusing on the blue whale after 1900 (9). The slaughter peaked in 1931 when over 29000 were killed in one season (8). After that blue whales became so scarce that the whalers turned to other species. More than 360000 blue whales were taken by whaling fleets in the Southern Hemisphere from 1904 to 1967 (7) and the Antarctic and North Atlantic populations were probably depleted to the low hundreds by the time whaling ceased (1). The total global blue whale population has declined by at least 70 percent and possibly as much as 90 percent over the last three generations with the formerly very large Antarctic population declining over the same period by as much as 97 percent (1).†,Hunting of the blue whale was banned in 1966 although some illegal soviet whaling persisted for several years after. No blue whales have been deliberately caught since 1978 (1). However this protection almost came too late for the blue whale and recovery has been extremely slow. Only in the last few years have there been signs that numbers may be increasing (9).† ,pollution; ,cites;protected; ,1,2.0
145,145,Balaenoptera musculus,blue whale ,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera ,100 - 120 tonnes (3),Because of its enormous size and speed the blue whale was largely safe from early whalers who could not pursue it in open boats with hand harpoons. However the advent of the exploding harpoon gun in 1868 allowed for the commercial exploitation of this species with the whaling industry particularly focusing on the blue whale after 1900 (9). The slaughter peaked in 1931 when over 29000 were killed in one season (8). After that blue whales became so scarce that the whalers turned to other species. More than 360000 blue whales were taken by whaling fleets in the Southern Hemisphere from 1904 to 1967 (7) and the Antarctic and North Atlantic populations were probably depleted to the low hundreds by the time whaling ceased (1). The total global blue whale population has declined by at least 70 percent and possibly as much as 90 percent over the last three generations with the formerly very large Antarctic population declining over the same period by as much as 97 percent (1).†,Hunting of the blue whale was banned in 1966 although some illegal soviet whaling persisted for several years after. No blue whales have been deliberately caught since 1978 (1). However this protection almost came too late for the blue whale and recovery has been extremely slow. Only in the last few years have there been signs that numbers may be increasing (9).† ,pollution; ,cites;protected; ,1,2.0
