,id,name,genus,family,ecology,countries,threat_paragraph,conservation_paragraph,pop_trend,status,country_count,scientific_name
1051,1051,nan,Bythinella,Hydrobiidae,Freshwater,France (France (mainland)); ,"
    The major threats to this species lie in exploitation of the water source, either through extraction of groundwater feeding the spring, or capping (off-take) of water from the springs.  There are a variety of purposes for water extraction in the region,such as use for agriculture and use for domestic supplies.  A secondary threat lies in pollution of the groundwater from nitrates as the result of agricultural run-off percolating into the groundwater.

    
  ",['\n    The species is currently protected by French law at all times against actions that would lead to the destruction or removal of eggs and destruction of animals. The regional nature conservation agencies have listed it on the Action Plan for Protected Species in Picardie.\n\n    \n  '],Unknown,"
    Endangered


    B1ab(iii,iv)+2ab(iii,iv)

    ",1,Bythinella viridis
1052,1052,bakr shemaya,Alburnus,Cyprinidae,Freshwater,Turkey (Turkey-in-Asia); ,"
    Massive pollution has isolated the remaining populations of this species to 3-5 tributaries of the Bakir River. There, water abstraction and water retention by dams are threats as well as a reduction in rainfall due to climate change.

    
  ",['\n    There are no conservation actions in place in this heavily impacted environment. Research\xa0is recommended to better understand the distribution and threats of this species and protected areas could help to limit threats.\n\n    \n  '],Decreasing,"
    Endangered


    B2ab(i,ii,iii,iv)

    ",1,Alburnus attalus
1053,1053,antalya bleak,Alburnus,Cyprinidae,Freshwater,Turkey (Turkey-in-Asia); ,"
    All the threats common in the area are affecting this species. Locally, water pollution is a problem, especially in small coastal streams and in upper Aksu. The larger rivers as Aksu, Köprü and Manavgat are heavily impacted by dams. For example in Aksu no water comes out of the dam for some periods letting large downstream areas fall dry. Water abstraction is also a serious problem especially for the smaller streams and less rainfall due to climate change and a fast growing population and economic development increase the demands for water.

    
  ","['\n    There is no conservation effort for this species in place. However, Antalya Bay freshwaters have a highly endemic biodiversity which is mostly threatened and serious awareness raising and conservation planning for these species are strongly encouraged.\n\n    \n  ']",Decreasing,"
    Endangered


    B2ab(i,ii,iii,iv,v)

    ",1,Alburnus baliki
1054,1054,cazon sea catfish,Notarius,Ariidae,,<div>Atlantic �?? western central; Pacific �?? eastern central</div>; Colombia; ,,,,"
    Endangered


    B1+2cd

    ",3,Notarius bonillai
1055,1055,orontes scraper,Capoeta,Cyprinidae,Freshwater,Syrian Arab Republic; Turkey (Turkey-in-Asia); ,"
    This species is mostly threatened by water abstraction and climate change induced less rainfall. These threats will increase in future due to fast human population growth, economic development and climate change. While large populations exist in reservoirs and maybe most individuals of this species are now restricted to reservoirs, water retention by reservoirs make the rivers below the dams inhospitable for this species.

    
  ",['\n    There is no conservation action for this species in place. All of the endemic biodiversity of the Asi drainage should be of special concern as the situation in this river is very difficult.\n\n    \n  '],Decreasing,"
    Endangered


    B2ab(i,ii,iii,iv)

    ",2,Capoeta barroisi
1056,1056,nan,Abida,Chondrinidae,Terrestrial,France (France (mainland)); ,"
    Quarrying and road enlargement might affect the few known localities.

    
  ","['\n    The species is protected under the French law. However, there is no specific conservation plan for this species.\n\n    \n  ']",Unknown,"
    Vulnerable


    D2

    ",1,Abida ateni
1057,1057,nan,Abida,Chondrinidae,Terrestrial,Andorra; France (France (mainland)); ,"
    There are no major threats to the species. Quarrying and road enlargement might affect part of its subpopulations.

    
  ",['\n    There is no conservation action in place for this species.\n\n    \n  '],Stable,"
    Near Threatened


    

    ",2,Abida vergniesiana
1058,1058,nan,Radioconus,Charopidae,,Brazil; ,,,,"
    Endangered


    B1+2ab

    ",1,Radioconus riochcoensis
1059,1059,nan,Radiodiscus,Charopidae,,Brazil; ,,,,"
    Endangered


    A1ac

    ",1,Radiodiscus amdenus
1060,1060,ceyhan spined loach,Cobitis,Cobitidae,Freshwater,Turkey (Turkey-in-Asia); ,"
    The construction of reservoirs seems to be the major threat for this species. The Adatepe Dam (irrigation) is currently under construction on the Goksun Cayi river catchment and will destroy some of the species habitat at the site of reservoir and downstream. More dams may be planned within the species range.

    
  ","['\n', <p><span class=""st""><span lang=""EN-GB"">There is no conservation action in place<span class=""st""><span lang=""EN-GB""> for this species.</span></span></span></span></p>, '\n']",Decreasing,"
    Endangered


    B2ab(i,ii,iii,iv,v)

    ",1,Cobitis evreni
1061,1061,phrygian spined loach,Cobitis,Cobitidae,Freshwater,Turkey (Turkey-in-Asia); ,"
    This species has been impacted by the desiccation of Central Anatolia. Due to population growth and economic and agricultural development, water is increasingly abstracted. Furthermore, droughts are becoming more serious as there is less water remaining and climate change is leading to less rainfall in the area. Furthermore, to retain surface water, dams have been built which then leave the downstream sections dry.

    
  ","['\n', <p><span class=""st""><span lang=""EN-GB"">There is no conservation action in place for this species. The few springs and streams inhabited by this, and other threatened fishes, should experience biodiversity focused site protection. </span></span></p>, '\n']",Decreasing,"
    Endangered


    B2ab(i,ii,iii,iv)

    ",1,Cobitis phrygica
1062,1062,eber gudgeon,Gobio,Cyprinidae,Freshwater,Turkey (Turkey-in-Asia); ,"
    Pollution and water abstraction are the major threats in the area which have almost terminated fish life in the lakes.The species now occurs only in inflowing streams which are partly polluted and water is abstracted for many reasons. Furthermore, human population and economic development and climate change induced rainfall reduction makes the situation even more critical. Several small dams retain water in the streams and water retaining by dams is a problem in the downstream section of the streams.

    
  ","['\n    There is no conservation action in place for this species. Both lakes are a protected area, but the management plan (2008) focus is on birds. It is strongly recommended to develop a conservation\xa0strategy\xa0for this and other threatened freshwater species in the area.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)

    ",1,Gobio intermedius
1063,1063,nan,Anodonthyla,Microhylidae,Terrestrial,Madagascar; ,"
    Unprotected forest outside Ranomafana National Park, and in the highlands of Madagascar generally, are at very high risk of deforestation risk due to subsistence agriculture, timber extraction, charcoal manufacturing, invasive spread of eucalyptus, livestock grazing, regular burning to maintain cattle pasture, expanding human settlements, and a  recent increase in artisanal small-scale mining; and there is some encroachment of these activities in the National Park (M. Vences pers. comm. December 2010, F. Glaw pers. comm. November 2014).

    
  ","['\n', <strong><em>Conservation Actions</em></strong>, <br/>, 'The only known population of this species occurs within Ranomafana National Park (Vences ', <em>et al.</em>, ' 2010), which is presently well-managed but is potentially at risk if political instability weakens enforcement (M. Vences pers. comm. December 2010). In order to ensure the persistence of this species, current management practices within Ranomafana should be maintained (M. Vences pers. comm. December 2010).\xa0', <br/>, <br/>, <strong><em>Research Needed</em></strong>, <br/>, ""Further research is required to better understand the species' population size, distribution and trends.\n\n    \n  ""]",Decreasing,"
    Endangered


    B1ab(iii)

    ",1,Anodonthyla emilei
1064,1064,nan,Magnolia,Magnoliaceae,Terrestrial,China (Yunnan); ,"
    General deforestation is impacting on this species.

    
  ","['\n', <span style=""font-style: italic;"">Magnolia ventii </span>, 'exists in very few ', <span style=""font-style: italic;"">ex situ </span>, 'collections and should be considered a priority species for new collections. Further survey work is required to determine the appropriate conservation actions for this species.\n\n    \n  ']",Unknown,"
    Endangered


    B1ab(iii); D

    ",1,Magnolia ventii
1065,1065,holsts frog,Babina,Ranidae,Terrestrial; Freshwater,Japan; ,"
    Recent deforestation caused by road and dam construction in the northern part of Okinawajima and Tokashikijima have been damaging the habitat of this species, and will probably lead to further decline of the population on these islands.

    
  ","['\n    This species is designated as a natural monument by Okinawa Prefecture, but there remains a need for improved protection of forest habitat on both Okinawajima and Tokashikijima.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii,v)

    ",1,Babina holsti
1066,1066,nan,Babina,Ranidae,Terrestrial; Freshwater,Japan; ,"
    Recent deforestation on Amamioshima, along with road construction in mountainous areas, has been severely impacting the quality of the habitat of the species. Other threats include predation by introduced mongoose and development of rivers.

    
  ","['\n    It is unclear whether it occurs in any protected areas, though there is clearly a need for improved protection of forest habitats in the Ryukyus.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii)

    ",1,Babina subaspera
1067,1067,pyrenean frog,Rana,Ranidae,Terrestrial; Freshwater,France; Spain; ,"
    Threats include stream eutrophication (through intensification of agricultural practices), drought, potential introduction of trout and other predatory fishes, and habitat loss due to the development of tourism and transport infrastructure. Logging and associated activities may threaten the species' habitat, and it is likely to be vulnerable to climate change.

    
  ",['\n    It is listed on Appendix III of the Bern Convention and is included in the regional catalogues of Navarra and Aragón. It is present in Ordesa and Monte Perdido National Park (Huesca) and Lizardoia Integral Reserve (Navarra).\n\n    \n  '],Decreasing,"
    Endangered


    B1ab(ii,iii,iv)

    ",2,Rana pyrenaica
1068,1068,truong son pit viper,Viridovipera,Viperidae,Terrestrial,Viet Nam; ,"
    This species may be impacted by habitat degradation and loss as  deforestation is occurring within the Annamites. Illegal logging for  hardwoods and slash-and-burn agriculture are the major threats to this  area, but occur at only small scales. If this snake is targeted for the pet trade, overharvesting is likely to become a significant threat very rapidly as a result of its restricted distribution and apparent rarity.

    
  ","[""\n    There are no known species-specific conservation measures in place for  this species, however, it is only known from a protected area. Villages  exist around the boundary of Phong Nha-Ke Bang National Park, and the forest habitat within the reserve is under pressure from logging and agriculture. The pet trade should be closely monitored to identify any records of this snake. More surveys are needed to clarify the extent of this snake's range in Vietnam and adjacent karst areas of Laos.\n\n    \n  ""]",Unknown,"
    Endangered


    B1ab(iii)

    ",1,Viridovipera truongsonensis
1069,1069,yunnan reed snake,Calamaria,Calamariidae,Terrestrial,China (Yunnan); ,"
    There is a decline in the habitat of this species outside of protected areas owing to conversion of land to agricultural use (cropland).

    
  ",['\n    Part of the range of this species is within the Wuliang Mountain protected area. Further studies are needed into the ecology and habitat preferences of this species.\n\n    \n  '],Unknown,"
    Endangered


    B1ab(iii)

    ",1,Calamaria yunnanensis
1070,1070,nan,Lasioglossum,Halictidae,Terrestrial,Belgium; Germany; Austria; France (France (mainland)); Greece (Greece (mainland)); Italy (Italy (mainland)); Spain (Spain (mainland)); Switzerland; ,"
    The threats to this species are unknown.

    
  ","['\n    This species is listed in the National Red List or Red Data Book of the Czech Republic (Critically Endangered; Farkac ', <em>et al</em>, '. 2005), Germany (Critically Endangered; Westrich ', <em>et al</em>, '. 2011), and Switzerland (Near Threatened; Amiet 1994). The species occurs in a number of alpine protected areas. In order to protect this species, alpine habitats such as meadows and forests should be the subject of conservation action (A. Pauly pers. comm. 2013). Further research should be conducted into the population size and trends, habitat and ecology, while determining the threats affecting this species.\n\n    \n  ']",Decreasing,"
    Endangered


    B2ab(i,ii,v)

    ",8,Lasioglossum breviventre
1071,1071,pulau tioman pit viper,Popeia,Viperidae,Terrestrial,Malaysia (Peninsular Malaysia); ,"
    The main threat to this species is the illegal pet trade.

    
  ","['\n    The species is in a protected area. Although it is legally protected, better enforcement of the law is needed to prevent illegal collection of specimens.\n\n    \n  ']",Unknown,"
    Endangered


    B1ab(v)

    ",1,Popeia buniana
1072,1072,sichuan hotspring keelback,Thermophis,Dipsadidae,Terrestrial; Freshwater,China (Sichuan); ,"
    It is threatened by the degradation of hot spring habitats, through local development, often for tourism.

    
  ","[""\n    No conservation actions are currently known for this species. It is present within the Haizi Mountain Conservation Area (Peng Guo pers. comm. 2011). More information is needed on this species' population status, natural history and threats.\n\n    \n  ""]",Decreasing,"
    Endangered


    B1ab(iii)

    ",1,Thermophis zhaoermii
1073,1073,"pearlbanded rat snake, sichuan rat snake, szechwan rat snake",Euprepiophis,Colubridae,Terrestrial,China (Sichuan); ,"
    This is a species with a very narrow distribution. There is a decline in the quality of habitat outside of protected areas, through new development of housing and deforestation (logging). There is some poaching of this species (Wang and Xie 2009).

    
  ","['\n    This species is listed as the key protected species of Sichuan Prov., China (Hu ', <em>et al.</em>, ' 2002). It has been recorded from some protected areas.\n\n    \n  ']",Decreasing,"
    Endangered


    B2ab(iii)

    ",1,Euprepiophis perlacea
1074,1074,"banded cat snake, banded green cat snake",Boiga,Colubridae,Terrestrial,Thailand; ,"
    The main threat to this species is likely to be forest degradation from agricultural activities, mainly oil palm plantations, which is ongoing within Krabi Province.

    
  ","['\n    There are no specific conservation measures for this species. It may not be present in protected areas. Research is needed to better determine the distribution of this species, as well as population size and trends.\n\n    \n  ']",Unknown,"
    Endangered


    B1ab(iii)

    ",1,Boiga saengsomi
1075,1075,"mang mountain pit viper, mangshan pit viper, mt mang pit viper",Protobothrops,Viperidae,Terrestrial,"China (Guangdong, Hunan); ","
    Illegal collection for the pet trade remains a threat to this species. Between the 1950s and the 1980s, deforestation within the species range significantly reduced its distribution.

    
  ","['\n    It is present in the Mangshan Natural Nature Reserve. Captive breeding has been successful in Germany, China and the US. Captive breeding started in 1994; by 2010, about 100 individuals had been born in captivity (Chen 2010).\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(v)+2ab(v)

    ",1,Protobothrops mangshanensis
1076,1076,kanburi pit viper,Cryptelytrops,Viperidae,Terrestrial,Thailand; ,"
    This rare and beautiful species is targeted by the illegal international pet trade.

    
  ","['\n    This species occurs in a protected area. Field surveys are needed to determine its natural history and extent of its geographic range (including its presence in adjacent Myanmar). The species is legally protected from export from Thailand for the pet trade. All international trade is illegal, therefore compliance of the law should be enforced.\n\n    \n  ']",Unknown,"
    Endangered


    B1ab(v)

    ",1,Cryptelytrops kanburiensis
1077,1077,nan,Conus,Conidae,Marine,<div>Atlantic �?? eastern central</div>; Cape Verde; ,"
    The Cape Verde islands are experiencing a major increase in  tourism.   The island of Sal to which this species is restricted is now  subject to  major development including a 5 billion euro construction of 425  hectares at Mordeira Bay, consisting of 5,000 residential units, 5 star  hotels, two  golf courses and a marina  (http://www.capeverdedevelopment.com) coincides with the type locality   of the species and must be considered the major threat as the populations levels of the species are already observed to be declining (M. J. Tenorio pers. comm. 2011).

    
  ","['\n    The species is not the subject of any conservation actions at present, however some action is required, as population levels have been in declining over the last 10 years. Future developments should include some mitigation plans.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii)+2ab(iii)

    ",2,Conus cuneolus
1078,1078,nan,Conus,Conidae,Marine,<div>Atlantic �?? eastern central</div>; Senegal; ,"
    Marine pollution along the whole of this coastline, in particular around   the Cap Vert Peninsular, from industrial and domestic discharges   including sewage, chemicals and other toxins, presents a severe problem   to marine creatures living in the area (UNEP 2009).

    
  ","['\n    The population on the island lies in a protected area, although there are no known conservation measures currently in place for this species.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii,v)+2ab(iii,v)

    ",2,Conus hybridus
1079,1079,curvebar cichlid,Herichthys,Cichlidae,,Mexico; ,,,,"
    Endangered


    A2ce, B2ab+3a

    ",1,Herichthys labridens
1080,1080,semirechensk salamander,Ranodon,Hynobiidae,Terrestrial; Freshwater,China; Kazakhstan; ,"
    It is particularly susceptible to over-exploitation (for medical, commercial and scientific purposes), habitat degradation (caused by over-grazing of forest, lowering of the water table, soil erosion, and desiccation of streams), and accidental mortality caused by the trampling effects of livestock during summer grazing. It is also threatened by local fishing practices.

    
  ","['\n    This species is listed in the Red Data Books of the USSR and Kazakhstan and is listed as a Class I protected species by the Xinjiang Uygur Autonomous Region, China. The range of this species is thought to be within the Hecheng Four-Claw Turtle Nature Reserve of China, although this requires confirmation. Existing conservation measures are considered to be insufficient, and there is a need for the immediate development and implementation of an effective system for conservation of the species at national (Kazakhstan and China) and international level. The most important measure recommended is the urgent creation of special strict nature reserves.\n\n    \n  ']",Decreasing,"
    Endangered


    B2ab(iii,iv,v)

    ",2,Ranodon sibiricus
1081,1081,nan,Sicyopterus,Gobiidae,Freshwater; Marine,"<div>Pacific �?? western central</div>; Micronesia, Federated States of ; ","
    The production of sakau on Pohnpei has resulted in the deforestation, destruction and conversion of habitats on the island, often resulting in sedimentation (Merlin and Raynor 2005). This is a major threat to the species, as sedimentation can interfere with flow, recruitment and movement of the species.

    
  ",['\n    It is not known whether this species occurs in any protected areas.\n\n    \n  '],Decreasing,"
    Endangered


    B1ab(ii,iii,iv)

    ",2,Sicyopterus eudentatus
1082,1082,nan,Rasbora,Cyprinidae,,Sri Lanka; ,,,,"
    Endangered


    B1+2c

    ",1,Rasbora wilpita
1083,1083,"millers nicobar rat, nicobar archipelago rat, nonsense rat",Rattus,Muridae,Terrestrial,India; ,"
    The December 2004 tsunami has been observed to be the major threat for this species on the Nicobar islands. Post tsunami development, establishment and expansion of human settlements, conversion of forests into palm plantations are serious threats to the species (S. Molur pers. comm.).

    
  ","['\n    There are no conservation measures in place; it is not known if the species is present in any protected areas. Additional studies are needed into the distribution, abundance, general ecology and threats to this little-known species. Populations of this species should be monitored to record changes in abundance and distribution.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii)

    ",1,Rattus burrus
1084,1084,nan,Lygodactylus,Gekkonidae,Terrestrial,Madagascar; ,"
    This species is likely to be  negatively impacted by the loss and degradation of lowland humid forest resulting from agricultural conversion and mining, although no threats specifically affecting this gecko have been recorded. Charcoal production may also represent a threat.  Actual threats might be quite low because the sites from  which it has been collected are subject to some form of conservation  management, although any subpopulations outside protected areas are likely to be at risk.

    
  ","[""\n    This species occurs in two sites that are under conservation management,  at Parc National d'Andohahela and Manantantely Private Reserve.  The other known fragments where this species occurs fall within new protected areas. Additional surveys in the region would be useful because these sites are  located within larger blocks of forest and "", <span style=""font-style: italic;"">L. roavolana</span>, ' may have a larger distribution than is currently known.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii)

    ",1,Lygodactylus roavolana
1085,1085,trungkhanh pit viper,Protobothrops,Viperidae,Terrestrial,Viet Nam; ,"
    Karst forest around the type locality is being degraded as a result of illegal timber extraction, and slash-and-burn agriculture encroaching within the borders of the nature reserve (Q.T. Nguyen pers. comm. September 2011).

    
  ","['\n    This species is known only from a protected area, although there is degradation of forest within the reserve boundaries. No species-specific conservation measures are in place. Surveys are needed to obtain more information on the distribution, population status and natural history of this species, and to establish whether it is found in adjacent regions of both China and Vietnam.\n\n    \n  ']",Unknown,"
    Endangered


    B1ab(iii)

    ",1,Protobothrops trungkhanhensis
1086,1086,nan,Magnolia,Magnoliaceae,Terrestrial,China (Guizhou); ,"
    The threats are not known however it is likely that deforestation and changes in land use have caused significant declines in the past.

    
  ","['\n    This species exists only in one\xa0', <span style=""font-style: italic;"">ex situ </span>, 'collection in China and is therefore a priority species for new ', <span style=""font-style: italic;"">ex situ</span>, ' collections and propagation (BGCI and FFI 2008).\n\n    \n  ']",Decreasing,"
    Endangered


    D

    ",1,Magnolia angustioblonga
1087,1087,nan,Magnolia,Magnoliaceae,Terrestrial,Colombia; ,"
    Historically the fragmented forests of the region have been subject to logging mostly to clear the land for livestock and agriculture.

    
  ","['\n    It is important to determine whether ', <span style=""font-style: italic;"">M. arcabucoana</span>, '  occurs in wildlife\xa0corridors\xa0between its three known locations which  could harbour populations from Arcabuco and Virolin. Further survey is  needed of the  Farallones de Medina region which has  high slopes and very little settlement and could potentially harbour  this species.', <br/>, '\xa0', <br/>, '  There are no existing records of ', <span style=""font-style: italic;"">Magnolia arcabucoana</span>, ' in protected areas but it  is possible that it occurs in the Flora  and Fauna Sanctuary Guanenta-Alto Rio Fonce e Iguaque and in the Nature  National Park of Chingaza. These areas should be explored to determine the presence of this species. ', <br/>, <br/>, 'Based on herbarium records it is a  species for which very few specimens have been collected and there have  been no new collections since 1981. It is necessary to develop protocols to assist the regeneration of this species. It does not occur in any ', <em>ex situ </em>, 'collections.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(ii,iii,v)

    ",1,Magnolia arcabucoana
1088,1088,nan,Magnolia,Magnoliaceae,Terrestrial,Colombia; ,"
    There are deforestation activities throughout this region principally logging.

    
  ","['\n    It is recommended to evaluate the conservation status of the populations and habitats in San Jose del Palmar, San Antonio de Chama and Mistrato as well as develop protocols for propagation of this species. It is expected that  there could be some populations of', <span style=""font-style: italic;""> Magnolia chocoensis</span>, ' in protected areas  such as the Tatama  National Park and this needs to be determined.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii,v)

    ",1,Magnolia chocoensis
1089,1089,nan,Magnolia,Magnoliaceae,Terrestrial,Dominican Republic; ,"
    The Sierra de Bahoruco lies in one of the poorest regions of the country and the dependence of local populations on forest resources puts the site under intense pressure. The key threats to the forest ecosystem include agriculture and an intense demand for charcoal.

    
  ","['\n', <span style=""font-style: italic;"">Magnolia hamorii </span>, 'is absent from ', <span style=""font-style: italic;"">ex situ </span>, 'collections.\xa0It\xa0has not been  described in any recent surveys of the Sierra de Bahoruco which is one  of the most diverse highland ecosystems in Hispaniola and is recognised  as a globally important hotspot for endemic species. This reserve is well managed and it is therefore necessary to determine the presence and extent of occurrence of this species.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(i,iii)

    ",1,Magnolia hamorii
1090,1090,nan,Magnolia,Magnoliaceae,Terrestrial,"Brazil (Brasília Distrito Federal, Goiás); ","
    It is threatened by deforestation and logging activities.

    
  ",['\n    Conservation actions are unknown for this species.\n\n    \n  '],Decreasing,"
    Endangered


    B1ab(iii)

    ",1,Magnolia irwiniana
1091,1091,nan,Magnolia,Magnoliaceae,Terrestrial,Mexico (Guerrero); ,"
    Cultivation of illegal crops in the vicinity of wild populations has caused a dramatic decline.

    
  ",['\n    There are no known conservation measures. Protection may be complicated because of cultivation of illegal crops in the vicinity of wild populations.\n\n    \n  '],Decreasing,"
    Endangered


    B2ab(i,ii,iii)

    ",1,Magnolia krusei
1092,1092,nan,Magnolia,Magnoliaceae,Terrestrial,China (Yunnan); Viet Nam; ,"
    Threats to this species are unknown.

    
  ","['\n    There are no known ', <em>in situ </em>, 'conservation actions for ', <span style=""font-style: italic;"">Magnolia lacei. </span>, 'However, it does exist in five ', <span style=""font-style: italic;"">ex situ </span>, 'collections.\n\n    \n  ']",Decreasing,"
    Endangered


    D

    ",2,Magnolia lacei
1093,1093,nan,Magnolia,Magnoliaceae,Terrestrial,India (Assam); ,"
    The forests in the Assam area are subject to high rates of deforestation for land clearance, timber, agriculture and livestock which have drastically reduced the extent of the forest.

    
  ","['\n    This is a species of conservation priority which is currently absent from ', <em>ex situ </em>, 'collections.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii)

    ",1,Magnolia pealiana
1094,1094,nan,Magnolia,Magnoliaceae,Terrestrial,Puerto Rico; ,"
    The abundance and distribution of this species has diminished dramatically due to selective harvesting for timber by the removal of large trees.

    
  ","['\n', <p>There are no conservation measures in place. It is absent from <em>ex situ</em> collections. It is unknown if it is present in any protected area or national park. </p>, '\n']",Decreasing,"
    Endangered


    B1ab(iii,v)

    ",1,Magnolia portoricensis
1095,1095,nan,Magnolia,Magnoliaceae,Terrestrial,Puerto Rico; ,"
    This species has declined due to excessive logging which has caused declines in forest area and fragmentation of populations.

    
  ","['\n', <p>There are no conservation measures in place. It is absent from <em>ex situ</em> collections. It is unknown if it is present in any protected area. Further information on the status of its habitat or exploitation is desirable.</p>, '\n']",Decreasing,"
    Endangered


    B1ab(iii,v)+2ab(iii,v)

    ",1,Magnolia splendens
1096,1096,nan,Magnolia,Magnoliaceae,Terrestrial,Colombia; Ecuador; ,"
    In general the region surrounding Tumaco is subject to overexploitation for wood and cultivation of illicit crops.

    
  ","['\n', <span style=""font-style: italic;"">Magnolia striatifolia </span>, 'has not been reported within any of the reserve areas  however it could be present in the Rio Nambi reserve (in the town of  Barbacoas, in the district of Altaquer) and in the Sanquianga National  Park and its presence needs to be confirmed there. It is recommended to locate and evaluate new populations in the Rosario and Mira river deltas.\n\n    \n  ']",Decreasing,"
    Endangered


    B1ab(iii,v)

    ",2,Magnolia striatifolia
1097,1097,orontes sportive loach,Oxynoemacheilus,Balitoridae,Freshwater,Syrian Arab Republic; Turkey (Turkey-in-Asia); ,"
    Large levels of water abstraction and pollution are the major threads within the Asi drainage and for this species. While the population in the Yıldırım is in a good shape, this stream is very small and depends on a spring coming from the mountains. Less rainfall due to climate change might lessen the amount of water in this stream in the future. In the upper Afrin, water abstraction and pollution is a major problem and water levels are already very low in late summer. Often dams in Syria stop all water flow into Turkey in the Asi. Less rainfall due to climate change as well as increased exploitation of the water resources in upper Afrin very seriously threaten this population.

    
  ","['\n', <p><span class=""st""><span lang=""EN-GB"">There are no conservation actions in place<span class=""st""><span lang=""EN-GB""> for this species. A real action plan is recommended for this species and other freshwater biodiversity in Asi drainage and especially in Afrin subdrainage. The status of <em>O. hamwii</em> should be carefully monitored and even <em>ex situ</em> conservation should be taken into account.<br/></span></span></span></span></p>, '\n']",Decreasing,"
    Endangered


    B2ab(i,ii,iii,iv,v)

    ",2,Oxynoemacheilus hamwii
1098,1098,cilician loach,Oxynoemacheilus,Balitoridae,Freshwater,Turkey (Turkey-in-Asia); ,"
    The largest part of the population is downstream of the Adana Dam (which has divided the population), and pollution from agriculture and the city of Adana impact the lower part of the species range. Water abstraction is occurring across the species' range. Salinisation is a very plausible future threat due to increased water abstraction and climate change.

    
  ","['\n', <p><span class=""st""><span lang=""EN-GB"">There is no conservation action in place<span class=""st""><span lang=""EN-GB""> for this species. We strongly recommend a sound field research to map the actual distribution of the species as well as its threats. Conservation should focus on the availability of water below the Adana dam for biodiversity and on keeping pollution and water abstraction moderate in the inflowing rivers. <br/></span></span></span></span></p>, '\n']",Decreasing,"
    Endangered


    B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)

    ",1,Oxynoemacheilus seyhanicola
1099,1099,isiki loach,Oxynoemacheilus,Balitoridae,Freshwater,Turkey (Turkey-in-Asia); ,"
    This loach and its springs and spring feed streams are impacted by water abstraction within the range of the species and water abstraction and water retention by dams in the catchment, outside of the range of this species. Furthermore, reduced rainfall induced by climate change in the area is decreasing the available water resources.

    
  ",['\n    It is strongly recommended to assess the hydrological background of the water supply for all Central Anatolian spring areas and properly protect their catchment area. All springs and spring feed streams should be declared as national monuments.\n\n    \n  '],Unknown,"
    Endangered


    B2ab(i,ii,iii,iv)

    ",1,Oxynoemacheilus mesudae
1100,1100,lycian spring minnow,Pseudophoxinus,Cyprinidae,Freshwater,Turkey (Turkey-in-Asia); ,"
    Water abstraction is the major threat for this species which is already restricted to few spring areas. Increased water demands, improved water abstraction technologies and increasing human populations combines with less available water due to climate change induced less rainfall.

    
  ",['\n    There is no conservation in place and efforts. Urgent conservation action is demanded not to loose this species and springs should be specially protected and managed for freshwater biodiversity.\n\n    \n  '],Decreasing,"
    Endangered


    B2ab(i,ii,iii,iv)

    ",1,Pseudophoxinus evliyae
1101,1101,pisidian spring minnow,Pseudophoxinus,Cyprinidae,Freshwater,Turkey (Turkey-in-Asia); ,"
    Water abstraction is impacting the species habitat and it is also susceptible to water retention by dams and climate change induced rainfall reduction increasing severity of droughts.

    
  ","['\n', <p>There is no conservation in place and efforts. Research is recommended to better understand the distribution and threats of this species. Known sites should be specially protected. </p>, '\n']",Decreasing,"
    Endangered


    B2ab(ii,iii)

    ",1,Pseudophoxinus fahrettini
1102,1102,chocolate chub,Squalius,Cyprinidae,Freshwater,Turkey (Turkey-in-Asia); ,"
    The species is mostly impacted by water abstraction for various reasons. Karadirek has a number of small dams used for water abstraction. Climate change induced less rainfall and increased water demands by a growing human population are increasing threats.

    
  ",['\n    Conservation management for freshwater biodiversity is needed for\xa0Lake I�?ıklı basin\n\n    \n  '],Decreasing,"
    Endangered


    B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)

    ",1,Squalius carinus
1103,1103,nan,Rhantus,Dytiscidae,,New Caledonia; ,,,,"
    Endangered


    A2c

    ",1,Rhantus alutaceus
1104,1104,nan,Magnolia,Magnoliaceae,Terrestrial,"Mexico (Jalisco, Zacatecas); ","
    This species is most likely to have suffered declines from deforestation and habitat degradation for land use change for urbanisation and agriculture.

    
  ",['\n    This species has been described from a federal natural protected area in the state of Jalisco and is a protected species however it is not listed as a protected species in Mexico under SEMARNAT.\n\n    \n  '],Decreasing,"
    Endangered


    B1ab(iii)+2ab(iii)

    ",1,Magnolia pugana
1105,1105,zona,Rheocles,Bedotiidae,,Madagascar; ,,,Decreasing,"
    Endangered


    B1ab(i,iii)

    ",1,Rheocles wrightae
