id,scientific_name,nickname,common_name,kingdom,phylum,class,order,family,genus,size,threats,conservation,threats_keywords,conservation_keywords, tCount, cCount
117,cardboard cycad; cardboard palm; cardboard plant,Zamia furfuracea,Cycad (Zamia furfuracea),Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Zamia (1),Height: 0.6 í¢ŒóŒñ 1.5 m (2)Leaf length: 10 í¢ŒóŒñ 20 cm (2)Cone length: 7 í¢ŒóŒñ 15 cm (2)Maximum trunk diameter: 20 cm (3),Cycads are one of the world\xe2\x80\x99s most threatened groups of plants with a shocking 53 percent of cycad species threatened with extinction (10).\xa0<em>Zamia furfuracea</em> has suffered dramatic declines and now only exists in relic populations with a very small range (1) (5). <em>Zamia furfuracea </em>has suffered from a history of unsustainable collection primarily because it is easy to grow in horticulture as it tolerates a wide range of environments and is seen as an attractive houseplant (7).\xa0The affect of this exploitation is often compounded by the loss of its habitat to coffee plantations and urban encroachment (10).,Highly vulnerable to human-induced disturbance it has been recognised that conservation measures are required to ensure the persistence of <em>Zamia furfuracea</em> populations.\xa0Consequently nurseries of <em>Zamia furfuracea</em> have been created in Veracruz allowing local communities to sell this cycad sustainably whilst improving its long-term survival prospects (5). <em>Zamia furfuracea</em> is also listed on Appendix II of the Convention on the International Trade of Endangered Species (CITES) strictly regulating the plant\xe2\x80\x99s import and export across international borders (4). However further research on the impact of trade on wild populations is required while <strong>ex-situ</strong> conservation methods need to be explored (5).\xa0 ,loss;environment; ,cites; ,2,1
118,cardboard cycad; cardboard palm; cardboard plant,Zamia furfuracea,Cycad (Zamia furfuracea),Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Zamia (1),Height: 0.6 í¢ŒóŒñ 1.5 m (2)Leaf length: 10 í¢ŒóŒñ 20 cm (2)Cone length: 7 í¢ŒóŒñ 15 cm (2)Maximum trunk diameter: 20 cm (3),Cycads are one of the world\xe2\x80\x99s most threatened groups of plants with a shocking 53 percent of cycad species threatened with extinction (10).\xa0<em>Zamia furfuracea</em> has suffered dramatic declines and now only exists in relic populations with a very small range (1) (5). <em>Zamia furfuracea </em>has suffered from a history of unsustainable collection primarily because it is easy to grow in horticulture as it tolerates a wide range of environments and is seen as an attractive houseplant (7).\xa0The affect of this exploitation is often compounded by the loss of its habitat to coffee plantations and urban encroachment (10).,Highly vulnerable to human-induced disturbance it has been recognised that conservation measures are required to ensure the persistence of <em>Zamia furfuracea</em> populations.\xa0Consequently nurseries of <em>Zamia furfuracea</em> have been created in Veracruz allowing local communities to sell this cycad sustainably whilst improving its long-term survival prospects (5). <em>Zamia furfuracea</em> is also listed on Appendix II of the Convention on the International Trade of Endangered Species (CITES) strictly regulating the plant\xe2\x80\x99s import and export across international borders (4). However further research on the impact of trade on wild populations is required while <strong>ex-situ</strong> conservation methods need to be explored (5).\xa0 ,loss;environment; ,cites; ,2,1
119,giant dioon; gum palm,Dioon spinulosum,Cycad (Dioon spinulosum),Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Dioon (1),Height: up to 16 m (2) (3)Trunk diameter: up to 40 cm (3)Leaf length: up to 2 m (2) (3),Already made vulnerable by its rather restricted distribution <i>Dioon spinulosum</i> is under threat from forest clearance as well as the removal of plants from the wild for landscaping and plant collections (2) (5) (7) with this cycad reported to be the most commonly grown <i>Dioon</i> species (3). The slow growth and reproductive rates typical of cycads may limit the ability of the <i>Dioon spinulosum</i> population to recover from any significant losses.,Cycads are of great conservation interest as they are an ancient group with considerable economic benefits to horticulture and the pharmaceutical industry as well as being important to soil health and fertility through nitrogen fixing (6). <i>Dioon spinulosum</i> receives some protection from international trade under its listing on Appendix II of the Convention on International Trade in Endangered Species (CITES) (4) although increasing numbers of <i>Dioon</i> cycads have been used in gardening and landscaping within Mexico (2). There have been some efforts to propagate this species in captivity such as at the Royal Botanic Gardens at Kew (5). A cycad action plan published by the IUCN Cycad Specialist Group recommends a range of conservation measures for cycad species including setting up reserves and sustainable nurseries undertaking censuses regularly updating the <strong>taxonomy</strong> and status of the world\xe2\x80\x99s cycads and identifying the specific conservation needs and the actions required to preserve this unique group of plants (7). ,loss; ,cites; ,1,1
120,giant dioon; gum palm,Dioon spinulosum,Cycad (Dioon spinulosum),Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Dioon (1),Height: up to 16 m (2) (3)Trunk diameter: up to 40 cm (3)Leaf length: up to 2 m (2) (3),Already made vulnerable by its rather restricted distribution <i>Dioon spinulosum</i> is under threat from forest clearance as well as the removal of plants from the wild for landscaping and plant collections (2) (5) (7) with this cycad reported to be the most commonly grown <i>Dioon</i> species (3). The slow growth and reproductive rates typical of cycads may limit the ability of the <i>Dioon spinulosum</i> population to recover from any significant losses.,Cycads are of great conservation interest as they are an ancient group with considerable economic benefits to horticulture and the pharmaceutical industry as well as being important to soil health and fertility through nitrogen fixing (6). <i>Dioon spinulosum</i> receives some protection from international trade under its listing on Appendix II of the Convention on International Trade in Endangered Species (CITES) (4) although increasing numbers of <i>Dioon</i> cycads have been used in gardening and landscaping within Mexico (2). There have been some efforts to propagate this species in captivity such as at the Royal Botanic Gardens at Kew (5). A cycad action plan published by the IUCN Cycad Specialist Group recommends a range of conservation measures for cycad species including setting up reserves and sustainable nurseries undertaking censuses regularly updating the <strong>taxonomy</strong> and status of the world\xe2\x80\x99s cycads and identifying the specific conservation needs and the actions required to preserve this unique group of plants (7). ,loss; ,cites; ,1,1
121,common pitogo; queen sago,Cycas circinalis,Cycad (Cycas circinalis),Plantae,Tracheophyta,Cycadopsida,Cycadales,Cycadaceae,Cycas (1),Trunk height: to 7 m (2)Trunk diameter: 12 í¢ŒóŒñ 27 cm (2),While in many areas <i>Cycas circinalis</i> remains abundant in others its habitat has been severely reduced and degraded (2). In addition this cycad is used in numerous ways by the local human population and some of this exploitation is having a negative impact on cycad numbers. <i>Cycas circinalis</i> is heavily harvested for its leaves with young leaves being used as food and medicine by indigenous and local communities and the mature leaves being sold in the floriculture industry (7). The biggest impact on <i>C. circinalis </i>populations however comes from the harvest of pith and male cone for the medicinal plant industry. While much of this harvest is illegal it is very difficult to patrol (7). It is not only the cycad itself that this harvesting may threaten; the harvesting of its seeds for human consumption appears to have little negative impact on <i>Cycas circinalis</i> populations but very heavy seed harvest could have an impact on the bats which reportedly feed on the seeds (7).,Significant populations of <i>Cycas circinalis</i> still exist in a number of national parks and forest reserves (2) which offers this species some protection. To reduce harvesting pressure on populations it has been suggested that people need to be encouraged to use substitutes. For example the floriculture industry could use leaves from cultivated palms that are faster growing. A substitute for the pith and male cone for the medicinal plant industry is not likely and thus in these cases populations need to be increased through cultivation (7). , , ,0,0
122,common pitogo; queen sago,Cycas circinalis,Cycad (Cycas circinalis),Plantae,Tracheophyta,Cycadopsida,Cycadales,Cycadaceae,Cycas (1),Trunk height: to 7 m (2)Trunk diameter: 12 í¢ŒóŒñ 27 cm (2),While in many areas <i>Cycas circinalis</i> remains abundant in others its habitat has been severely reduced and degraded (2). In addition this cycad is used in numerous ways by the local human population and some of this exploitation is having a negative impact on cycad numbers. <i>Cycas circinalis</i> is heavily harvested for its leaves with young leaves being used as food and medicine by indigenous and local communities and the mature leaves being sold in the floriculture industry (7). The biggest impact on <i>C. circinalis </i>populations however comes from the harvest of pith and male cone for the medicinal plant industry. While much of this harvest is illegal it is very difficult to patrol (7). It is not only the cycad itself that this harvesting may threaten; the harvesting of its seeds for human consumption appears to have little negative impact on <i>Cycas circinalis</i> populations but very heavy seed harvest could have an impact on the bats which reportedly feed on the seeds (7).,Significant populations of <i>Cycas circinalis</i> still exist in a number of national parks and forest reserves (2) which offers this species some protection. To reduce harvesting pressure on populations it has been suggested that people need to be encouraged to use substitutes. For example the floriculture industry could use leaves from cultivated palms that are faster growing. A substitute for the pith and male cone for the medicinal plant industry is not likely and thus in these cases populations need to be increased through cultivation (7). , , ,0,0
123,Palma Real (royal Palm).,Dioon caputoi,Cycad (Dioon caputoi),Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Dioon (1),Height: 1 m or more (2)Trunk diameter: 20 - 25 cm (2),Deforestation for logging and agriculture has occurred throughout the new world and this has had a dramatic effect on many cycad species especially those that grow in the understorey of forests. Although collecting of plants from the wild in the new world has been less severe\xa0than in parts of Africa several Mexican species including <em>D. caputoi</em> have been decimated by collectors\xa0(4). During the 1980s in particular local people report that large numbers of <em>D. caputoi</em> were extracted illegally. None of the four remaining populations of <em>D. caputoi</em> number more than 120 individuals and all are mostly comprised of adult plants due to poor natural recruitment of seedlings\xa0(5).,<em>Dioon caputoi </em>receives some protection from international trade under its listing on Appendix II of the Convention on International Trade in Endangered Species (CITES) (3). Nonetheless a range of additional conservation measures are still urgently needed for this Critically Endangered species. This includes: efforts to halt the illegal extraction of plants and further deforestation within the remaining populations; the monitoring of population dynamics as part of a long-term management plan; and the reintroduction of artificially propagated plants\xa0(5). , ,cites; ,0,1
124,Palma Real (royal Palm).,Dioon caputoi,Cycad (Dioon caputoi),Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Dioon (1),Height: 1 m or more (2)Trunk diameter: 20 - 25 cm (2),Deforestation for logging and agriculture has occurred throughout the new world and this has had a dramatic effect on many cycad species especially those that grow in the understorey of forests. Although collecting of plants from the wild in the new world has been less severe\xa0than in parts of Africa several Mexican species including <em>D. caputoi</em> have been decimated by collectors\xa0(4). During the 1980s in particular local people report that large numbers of <em>D. caputoi</em> were extracted illegally. None of the four remaining populations of <em>D. caputoi</em> number more than 120 individuals and all are mostly comprised of adult plants due to poor natural recruitment of seedlings\xa0(5).,<em>Dioon caputoi </em>receives some protection from international trade under its listing on Appendix II of the Convention on International Trade in Endangered Species (CITES) (3). Nonetheless a range of additional conservation measures are still urgently needed for this Critically Endangered species. This includes: efforts to halt the illegal extraction of plants and further deforestation within the remaining populations; the monitoring of population dynamics as part of a long-term management plan; and the reintroduction of artificially propagated plants\xa0(5). , ,cites; ,0,1
125,Milos viper,Macrovipera schweizeri,Cyclades blunt-nosed viper (Macrovipera schweizeri),Animalia,Chordata,Reptilia,Squamata,Viperidae,Macrovipera (1),Average length: 60 í¢ŒóŒñ 70 cm (2),The Cyclades blunt-nosed viper has become seriously threatened as a result of habitat destruction road mortality and removal by man. Two big quarries are in continuous operation on western Milos which have considerably increased in size over the last 15 years and destroyed large areas of pristine habitat. Additionally there are plans for more quarries on western Milos which pose an extremely significant threat to this critically endangered species. Fires also cause habitat destruction destroying the large bushes and trees in which the main prey birds are found. During the period of \xe2\x80\x98reforestation\xe2\x80\x99 after a fire goat and sheep grazing can be highly destructive preventing trees and large bushes from growing. At present tourism does not threaten the snake\xe2\x80\x99s habitat but a new airport planned for Milos may increase tourism to a level that is damaging to viper habitats. The other islands appear to provide fairly pristine untouched habitat and the populations there are healthy although a little smaller than on Milos (2).,The Regional Development Agency of Cyclades is implementing a project called \xe2\x80\x98Protection and Promotion of the Habitats and Species of the Milos Island Natura 2000 Area\xe2\x80\x99 focussing on three main actions. Firstly monitoring of the region\xe2\x80\x99s habitats and species including this viper are to be ongoing. Secondly efforts will be made to raise public awareness of the threats that face Milos\xe2\x80\x99 flora and fauna including promoting Milos Island as a destination of great ecological and ecotourism value (6). Not only could the dissemination of information help reduce intentional killing of the snake but it could also help instil a sense of pride in the local fauna and encourage local inhabitants to support the police in their struggle against snake hunters (2). Finally roads will be made safer for crossing vipers through the construction of barriers and underground passages. The Standing Committee of the Bern Convention has also recommended that there is stronger and stricter police control of illegal trade in the species (6). Further conservation actions advocated include the establishment of protected areas with optimal habitats and connective corridors and the eradication of feral cats if studies verify the threat they pose to young snakes (2). A captive breeding programme has been started in collaboration with Jersey Zoo and a similar programme has been proposed for Budapest Zoo and Botanical Gardens (3) which will provide an important buffer against extinction and offer potential for future reintroductions into the wild. ,pet; ,captive breeding;protected; ,1,2
126,Huchen,Hucho hucho,Danube salmon (Hucho hucho),Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Hucho (1),up to 53 kg (2),Once widespread the Danube salmon is now amongst the most endangered fish species in Europe (3) (8). Numbers have been massively depleted due to overexploitation industrial and agricultural pollution deforestation (causing increased water temperatures) water redirection and badly designed or non-existent fish ladders in dams and reservoirs (2) (6). Barriers and dams are major obstacles for spawning fish and prevent genetic exchange between sub-populations (8). In addition the fish\xe2\x80\x99s popularity with anglers as a sports fish has probably also contributed to the species\xe2\x80\x99 decline (2). As a result of these combined threats the Danube salmon is now common in only around 33% of its former range rare in 28 % and has disappeared completely from 39 % (4).,Conservation efforts to date have involved the establishment of reserves restocking of populations and introductions into rivers not previously inhabited by the species legal restrictions on fishing times and quotas and even a total ban on fishing the Danube salmon in most European countries (4) (6). Unfortunately none of the measures have had long-term success partly due to the continuing pollution of rivers (4) (6). It has therefore been advocated that total protection should be given to the Danube salmon\xe2\x80\x99s habitat with particular focus on the halting of pollution and that more ecologically sound fishery management protocols be implemented (6). ,pollution; , ,1,0
127,Deignaní¢ŒóŒ»s tree skink; Deignan's lankaskink,Lankascincus deignani,Deignan tree skink (Lankascincus deignani),Animalia,Chordata,Reptilia,Squamata,Scincidae,Lankascincus (1),Snout-vent length: 4 - 5.8 cm (2),The Deignan tree skink is considered to be under threat due to its very restricted distribution and the specific and highly fragmented nature of its habitat. At present the largest threats to this species\xe2\x80\x99 habitat are agricultural practices logging and firewood collection which destroy and disrupt the rainforest environment on which this skink relies (1).,There is no specific action being taken to preserve the Deignan tree skink nor are there any precise figures available regarding its current population. For this reason further studies are needed into the Deignan tree skink\xe2\x80\x99s numbers (1). ,environment; ,protected; ,1,1
128,Denisoní¢ŒóŒ»s barb; Miss Kerala; red line torpedo barb; red-lined torpedo fish,Puntius denisonii,Denison barb (Puntius denisonii),Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Puntius (1),Maximum length: 15 cm (2),One of India\xe2\x80\x99s most celebrated ornamental fishes the Denison barb has suffered huge declines as a result of its popularity. In the absence of catch limits the single most significant threat to this species is unsustainable collection for the pet trade. It has declined at an alarming rate of around 70 percent since 2004 and is now reduced to highly fragmented relict populations (1) (3) (4) (8).,A conservation priority for the recovery of the Denison barb is to reduce the number of fish caught in fisheries as at present this is likely unsustainable. The Government of Kerala has introduced regulations for catch limits and restrictions on the use of fishing gear while plans have been developed for designated no-take zones and specific Denison barb sanctuaries. The listing of the species on India\xe2\x80\x99s National Wildlife Protection Act should also ensure that trade is carefully regulated (7). ,fishing;pet; , ,2,0
129,Asian wild dog,Cuon alpinus,Dhole (Cuon alpinus),Animalia,Chordata,Mammalia,Carnivora,Canidae,Cuon (1),Length: 90 cm (2)Shoulder height: 50 cm (2)Tail length: 40 - 45 cm (2)Male weight: 15 - 20 kg (2)Female weight: 10 - 13 kg (2),Dhole numbers have been reduced as their habitat is being destroyed throughout much of the Asian continent; the human population explosion has led to the clearance of vast tracts of forest for timber and to make way for agriculture and development (5). Historically hunters viewed dholes as competition and thus persecuted them; bounties were also offered for their pelts (4). Today habitat loss and the elimination of prey species pose the greatest threats to the survival of the dhole (4). Diseases such as distemper and rabies possibly spread by domestic dogs are important threats to the Indian <strong>subspecies</strong> <i>C. a. primaevus</i> (2).,Dholes are protected throughout most of their range in India they are protected under Schedule I of the Wildlife Act of 1972 and hunting has also been prohibited in Russia since 1971 (2). In India and Nepal dholes are protected within many tiger reserves and this has helped to keep their stronghold in southern India (4). More data is urgently needed on dhole distribution and numbers and the Dhole Conservation Programme is working to achieve this and to develop a Dhole Action Plan to safeguard the future of this remarkable canid (5). ,loss;disease;pet; ,protected; ,3,1
130,Asian wild dog,Cuon alpinus,Dhole (Cuon alpinus),Animalia,Chordata,Mammalia,Carnivora,Canidae,Cuon (1),Length: 90 cm (2)Shoulder height: 50 cm (2)Tail length: 40 - 45 cm (2)Male weight: 15 - 20 kg (2)Female weight: 10 - 13 kg (2),Dhole numbers have been reduced as their habitat is being destroyed throughout much of the Asian continent; the human population explosion has led to the clearance of vast tracts of forest for timber and to make way for agriculture and development (5). Historically hunters viewed dholes as competition and thus persecuted them; bounties were also offered for their pelts (4). Today habitat loss and the elimination of prey species pose the greatest threats to the survival of the dhole (4). Diseases such as distemper and rabies possibly spread by domestic dogs are important threats to the Indian <strong>subspecies</strong> <i>C. a. primaevus</i> (2).,Dholes are protected throughout most of their range in India they are protected under Schedule I of the Wildlife Act of 1972 and hunting has also been prohibited in Russia since 1971 (2). In India and Nepal dholes are protected within many tiger reserves and this has helped to keep their stronghold in southern India (4). More data is urgently needed on dhole distribution and numbers and the Dhole Conservation Programme is working to achieve this and to develop a Dhole Action Plan to safeguard the future of this remarkable canid (5). ,loss;disease;pet; ,protected; ,3,1
131,Propithí€ŒÂque í€Œó Diadí€ŒÂme,Propithecus diadema,Diademed sifaka (Propithecus diadema),Animalia,Chordata,Mammalia,Primates,Indriidae,Propithecus (1),4.75 í¢ŒóŒñ 8.5 kg (2),Like many Malagasy primates the diademed sifaka is primarily threatened by the destruction of its rainforest habitat. <strong>Primary forests</strong> are being cleared to make way for agriculture the extraction of timber and charcoal production (1) (2). Worryingly it appears that this species may be sensitive to even slight disturbances as it has vanished from areas which have suffered only a little degradation (2). This species is also hunted for food an activity which is having a serious detrimental impact even on populations that lie within supposedly protected areas (1).,The diademed sifaka occurs in a number of national parks and reserves for example Mantadia and Zahamena National Parks but unfortunately this does not always offer the species protection from the threat of hunting (1). A conservation action plan for lemurs compiled in 1992 stated that better protection of such areas is a necessary conservation action for this species (8). The plan also suggested that a captive breeding programme should be developed (8); for many years there has only been one male diademed sifaka held in captivity in Duke Lemur Centre in North Carolina USA (9). , ,captive breeding; ,0,1
132,freckled marsupial mouse; Southern dibbler; speckled marsupial mouse,Parantechinus apicalis,Dibbler (Parantechinus apicalis),Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Parantechinus (1),40-100 g (2),This species has been lost from 90% of its former range in Australia (4). It is not known why this marsupial is so rare although surveys suggest various factors. Land clearing and habitat fragmentation are thought to be significant causes of its decline. In addition the frequent burning of heathland and litter may reduce the availability of invertebrates in the area. Predation by introduced mammals such as foxes and cats are also considered a threat to this species (4).,In 1992 a recovery plan for this species was developed by the International Union for the Conservation of Nature and Natural Resources (IUCN) addressing the threats facing this species (4). Predation by foxes and cats has now been brought under control by The Department of Conservation and Land Management (CALM) and in the last decade dibbler numbers have started to increase (5). Perth Zoo has been working with CALM to establish a captive breeding stock of over 100 individuals of this species (6). They have also translocated a group of dibblers to Escape Island; a predator free island which has suitable habitat for this marsupial. Here radio tracking devices and trapping practices will be used to monitor the populations (5). Considering that the dibbler was on the brink of extinction this recovery plan has been a great success. It is however essential to maintain these conservation efforts as the dibbler is still regarded as a severely endangered animal (1). ,fragmentation; ,captive breeding; ,1,1
133,Chalcides polylepis,Chalcides parallelus,Doumergue's skink (Chalcides parallelus),Animalia,Chordata,Reptilia,Squamata,Scincidae,Chalcides (1),Length: up to 9.1 cm (2),Relatively little is known about the threats to Doumergue's skink. It is believed to be uncommon within its narrow and severely fragmented range and is likely to be under threat from the development of coastal areas for tourism and military purposes. Its habitat may also be declining in quality for example through the removal of ground cover as driftwood is collected for fuel. The species is not known to exist in modified habitats (1).,Doumergue\xe2\x80\x99s skink occurs in the Chafarine Hunting Reserve in the Chafarinas islands Spain as well as in the Sebkha Bou Areg and Embouchure Moulouya protected areas in Morocco (1). However no specific conservation measures are known to be in place for this small reptile and further research into its ecology life history and the threats it faces are likely to be needed if the species is to be given effective protection. , ,protected; ,0,1
134,Dril,Mandrillus leucophaeus,Drill (Mandrillus leucophaeus),Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Mandrillus (1),Head-body length: 70 cm (5)Male weight: 20 kg (5)Female weight: 12.5 kg (5),The mature rainforest in this equatorial region of Africa has been destroyed at an alarming rate causing many species to become endangered. The drill is under additional pressure from hunting as the sweet 'bushmeat' of this species is an important income for many people in the region (3). Large groups of noisy drills either on the ground or within range amongst the trees make an easy target for hunters and cleared forests are ever more accessible (3).,In 1995 the drill was identified as an important priority for conservation due to its taxonomic uniqueness; it has only one close relative (3). It is listed on Appendix I of the Convention on International Trade in Endangered Species (CITES) thus prohibiting international trade (2). In the wild only a single population is known to occur within a protected area the Korup Reserve in Cameroon (7). Fauna and Flora International (FFI) are involved in the Drill Rehabilitation and Breeding Centre Nigeria which aims to rehabilitate young orphaned drills and to raise awareness of the plight of this species in the local area (7). In addition there are over 40 drills in captivity around the world some of which have been successfully bred (7). This may provide a last redoubt against the extinction of this magnificent species. ,hunting; ,cites;protected; ,1,2
135,Dril,Mandrillus leucophaeus,Drill (Mandrillus leucophaeus),Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Mandrillus (1),Head-body length: 70 cm (5)Male weight: 20 kg (5)Female weight: 12.5 kg (5),The mature rainforest in this equatorial region of Africa has been destroyed at an alarming rate causing many species to become endangered. The drill is under additional pressure from hunting as the sweet 'bushmeat' of this species is an important income for many people in the region (3). Large groups of noisy drills either on the ground or within range amongst the trees make an easy target for hunters and cleared forests are ever more accessible (3).,In 1995 the drill was identified as an important priority for conservation due to its taxonomic uniqueness; it has only one close relative (3). It is listed on Appendix I of the Convention on International Trade in Endangered Species (CITES) thus prohibiting international trade (2). In the wild only a single population is known to occur within a protected area the Korup Reserve in Cameroon (7). Fauna and Flora International (FFI) are involved in the Drill Rehabilitation and Breeding Centre Nigeria which aims to rehabilitate young orphaned drills and to raise awareness of the plight of this species in the local area (7). In addition there are over 40 drills in captivity around the world some of which have been successfully bred (7). This may provide a last redoubt against the extinction of this magnificent species. ,hunting; ,cites;protected; ,1,2
136,dumb shark; Harrison's deepsea dogfish; Harrison's dogfish; longnose gulper shark,Centrophorus harrissoni,Dumb gulper shark (Centrophorus harrissoni),Animalia,Chordata,Chondrichthyes,Squaliformes,Centrophoridae,Centrophorus (1),Total length: up to 111 cm (2),The dumb gulper shark is subject to trawl fishing and in New South Wales it is also harvested by droplining (in which long fishing lines with a series of hooks are set vertically down into the water). Dramatic population declines have occurred in some areas with declines of over 99 percent recorded between 1976 to 1977 and 1996 to 1997 and the dumb gulper shark may now only be present in reasonable numbers in areas that cannot be trawled. <em>Centrophorus</em> species are harvested for meat and liver oil but the low reproductive rate late age of maturity and long lifespan typical of these deep-water sharks means that species such as the dumb gulper shark are unable to recover quickly after depletion (1).,In 2003 management changes to the South East Trawl Fishery (SETF) by the Australian Fisheries Management Authority brought in new limits to the permissible catch of dumb gulper sharks. In addition the livers of <em>Centrophorus</em> species were not allowed to be retained unless the carcasses from which they were obtained were also landed. In Australia recommendations have also been made to list the dumb gulper shark as an Endangered species on the Environmental Protection and Biodiversity Conservation (EPBC) Act a listing that would require that a Recovery Plan be put in place for this little-known deepwater shark (1). ,fishing; , ,1,0
137,Dusky perch,Epinephelus marginatus,Dusky grouper (Epinephelus marginatus),Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelus (1),up to 60 kg (2),As a popular food fish the primary threat to the dusky grouper is over exploitation from commercial fisheries across its range (1) although adult fish are also caught as trophies particularly by spearfishing (9). Over-fishing and spearfishing have caused a dramatic decline in numbers over the last few decades leaving dusky grouper populations seriously depleted mainly in the north-western Mediterranean (5). The slow growth rate late onset of maturity and complex reproductive biology of this species compound these threats by making it harder for it to withstand or recover from high fishing pressure (1). The fact that it also forms <strong>spawning</strong> aggregations combined with its large size makes this fish particularly easy to catch and therefore vulnerable to over-harvesting (1). Indeed despite insufficient data from many range countries alarming declines have been recorded in Europe and the Mediterranean (mainly north-western) and there are also reports that <strong>spawning</strong> aggregations are being specifically targeted in Brazil (1).,Spearfishing of this species has been banned since 1993 in France (Mediterranean coast only) with evidence of small recoveries in this area (1). A number of Marine Protected Areas have also been established where the habitat of the fish is protected or where fishing is prohibited (1) (9). In South Africa the dusky grouper is part of a \xe2\x80\x98restricted group\xe2\x80\x99 of species governed by a bag limit of five fish a day (1). Additionally the dusky grouper was recently added to the endangered <strong>teleost</strong> list in Annex 3 to the Berne Convention (1996) under which management measures must be planned and aquaculture maintaining and breeding techniques developed in order to increase and repopulate endangered stocks (5). Unfortunately this fish does not adapt well to living and reproducing in aquariums (2) and research into successful husbandry techniques is therefore ongoing (5). ,fishing; ,protected; ,1,1
138,Edmund,Ophiogomphus edmundo,Edmund's snaketail (Ophiogomphus edmundo),Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Ophiogomphus (1),Length: 4.5 - 4.8 cm (2),Edmund\xe2\x80\x99s snaketail is threatened by the impounding and channelling of water to develop dams and reservoirs for hydroelectric schemes irrigation and water supplies. Siltation drainage and pollution also pose further threats to this species as they destroy freshwater habitats by lowering the water table sometimes turning permanent waterbodies into temporary water sources (1) (3) (8).,The Conasauga River runs through fairly rugged inaccessible country in national forests in Tennessee and Georgia which affords some level of protection to Edmund\xe2\x80\x99s snaketail in these areas. It is also state-listed in Georgia (1). ,pollution; ,protected; ,1,1
139,Vautour percnoptí€ŒÂre,Neophron percnopterus,Egyptian vulture (Neophron percnopterus),Animalia,Chordata,Aves,Falconiformes,Accipitridae,Neophron (1),1600 í¢ŒóŒñ 2200 g (2),Numerous threats are pushing this Endangered bird towards extinction.  In Africa declines have been caused by the loss of wild <strong>ungulate</strong> populations and in some areas overgrazing by livestock (5).  In Europe the Egyptian vulture has been suffering severe long-term declines; the result of disturbance lead poisoning from gun shot direct poisoning and electrocution by powerlines as well as regulations introduced within the European Union to control the disposal of animal carcasses which have greatly reduced food availability for this scavenger.  In addition Avian pox has been cited as the cause of Egyptian vulture deaths in Bulgaria (5).  In India diclofenac an anti-inflammatory drug often used for livestock is likely to be the source of recent and extremely rapid declines in Egyptian vulture populations (5) (7).  This drug which is also responsible for devastating declines in other vulture species poisons vultures when they feed on the flesh of treated livestock (8).,Throughout its range the Egyptian vulture occurs in a number of protected areas as well as being the subject of monitoring supplementary feeding programmes and campaigns against the illegal use of poisons (5).  In 2006 manufacture of the veterinary form of the drug diclofenac was banned by the Indian Nepali and Pakistani governments (9) (10).  While this was a remarkable step forward in vulture conservation the drug remains widely available and the human form of the drug is sometimes being used to treat livestock instead (9).    Many more measures may be necessary if the long-term survival of the Egyptian vulture is to be assured.  BirdLife International recommends relaxing European Union regulations with regards to the disposal of animal carcasses lobbying for the ban of diclofenac throughout the species range and protecting nest sites as just some of the measures which would benefit the Egyptian vulture (5). ,loss; ,protected; ,1,1
140,Cotorra de El Oro; Perico de El Oro,Pyrrhura orcesi,El Oro parakeet (Pyrrhura orcesi),Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura (1),Length: 22 cm (2),Deforestation associated with logging and clearance of trees for agriculture is a huge threat to the survival of the El Oro Parakeet. Although high altitude <strong>cloud forest</strong> is being deforested at a much slower rate this species is largely restricted to the more accessible lower altitude forest (2) (7). As habitat becomes more and more fragmented so the sub-populations are becoming more and more isolated and vulnerable. In 2006 the total population of El Oro parakeets was estimated to be less than 1000 birds (2).,In the past decade around 1500 hectares of forest has been acquired by the Jocotoco Foundation at Buenaventura the locality in which the El Oro parakeet was first discovered (2) (7) (8). Now known as the Buenaventura Reserve it is one of the richest ornithological regions of Ecuador and the only well protected site in which the El Oro parakeet occurs (7) (8). Approximately 80 El Oro parakeets are year-round occupants of the reserve but at certain times of the year the total number rises to around 120 (7) (9). The long-term aim is to expand the reserve to 5000 hectares and implement an environmental awareness campaign that will encourage and engage local people in conservation (2) (7) (8). , ,protected; ,0,1
