Scientific Name, Nickname, Common Name, Kingdom, Phylum, Class, Order, Family, Genus, Size, Threats, Conservation, Threat Keywords, Conservation Keywords, tCount, cCount
Plantae,Drymonia rhodoloma,Drymonia (Drymonia rhodoloma),Plantae,Tracheophyta,Magnoliopsida,Scrophulariales,Gesneriaceae,Drymonia (1),,[],[] , , ,0,0
Plantae,Drymonia laciniosa,Drymonia (Drymonia laciniosa),Plantae,Tracheophyta,Magnoliopsida,Scrophulariales,Gesneriaceae,Drymonia (1),,[],[] , , ,0,0
Plantae,Drymonia ecuadorensis,Drymonia (Drymonia ecuadorensis),Plantae,Tracheophyta,Magnoliopsida,Scrophulariales,Gesneriaceae,Drymonia (1),,[],[] , , ,0,0
Plantae,Dryobalanops beccarii,Dryobalanops (Dryobalanops beccarii),Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Dryobalanops (1),,[],[] , , ,0,0
Plantae,Drypetes andamanica,Drypetes (Drypetes andamanica),Plantae,Tracheophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,Drypetes (1),,[],[] , , ,0,0
Plantae,Drypetes porteri,Drypetes (Drypetes porteri),Plantae,Tracheophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,Drypetes (1),,[],[] , , ,0,0
Philautus viridis; Pseudophilautus viridis,Raorchestes viridis,Dull green shrub frog (Raorchestes viridis),Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Raorchestes (1),Raorchestes (1),[],[] , , ,0,0
dumb shark; Harrison's deepsea dogfish; Harrison's dogfish; longnose gulper shark,Centrophorus harrissoni,Dumb gulper shark (Centrophorus harrissoni),Animalia,Chordata,Chondrichthyes,Squaliformes,Centrophoridae,Centrophorus (1),Total length: up to 111 cm (2),The dumb gulper shark is subject to trawl fishing and in New South Wales it is also harvested by droplining (in which long fishing lines with a series of hooks are set vertically down into the water). Dramatic population declines have occurred in some areas with declines of over 99 percent recorded between 1976 to 1977 and 1996 to 1997 and the dumb gulper shark may now only be present in reasonable numbers in areas that cannot be trawled. <em>Centrophorus</em> species are harvested for meat and liver oil but the low reproductive rate late age of maturity and long lifespan typical of these deep-water sharks means that species such as the dumb gulper shark are unable to recover quickly after depletion (1).,In 2003 management changes to the South East Trawl Fishery (SETF) by the Australian Fisheries Management Authority brought in new limits to the permissible catch of dumb gulper sharks. In addition the livers of <em>Centrophorus</em> species were not allowed to be retained unless the carcasses from which they were obtained were also landed. In Australia recommendations have also been made to list the dumb gulper shark as an Endangered species on the Environmental Protection and Biodiversity Conservation (EPBC) Act a listing that would require that a Recovery Plan be put in place for this little-known deepwater shark (1). ,fishing; , ,1,0
Animalia,Engaewa reducta,Dunsborough burrowing crayfish (Engaewa reducta),Animalia,Arthropoda,Crustacea,Decapoda,Parastacidae,Engaewa (1),,[],[] , , ,0,0
Dusky perch,Epinephelus marginatus,Dusky grouper (Epinephelus marginatus),Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelus (1),up to 60 kg (2),As a popular food fish the primary threat to the dusky grouper is over exploitation from commercial fisheries across its range (1) although adult fish are also caught as trophies particularly by spearfishing (9). Over-fishing and spearfishing have caused a dramatic decline in numbers over the last few decades leaving dusky grouper populations seriously depleted mainly in the north-western Mediterranean (5). The slow growth rate late onset of maturity and complex reproductive biology of this species compound these threats by making it harder for it to withstand or recover from high fishing pressure (1). The fact that it also forms <strong>spawning</strong> aggregations combined with its large size makes this fish particularly easy to catch and therefore vulnerable to over-harvesting (1). Indeed despite insufficient data from many range countries alarming declines have been recorded in Europe and the Mediterranean (mainly north-western) and there are also reports that <strong>spawning</strong> aggregations are being specifically targeted in Brazil (1).,Spearfishing of this species has been banned since 1993 in France (Mediterranean coast only) with evidence of small recoveries in this area (1). A number of Marine Protected Areas have also been established where the habitat of the fish is protected or where fishing is prohibited (1) (9). In South Africa the dusky grouper is part of a \xe2\x80\x98restricted group\xe2\x80\x99 of species governed by a bag limit of five fish a day (1). Additionally the dusky grouper was recently added to the endangered <strong>teleost</strong> list in Annex 3 to the Berne Convention (1996) under which management measures must be planned and aquaculture maintaining and breeding techniques developed in order to increase and repopulate endangered stocks (5). Unfortunately this fish does not adapt well to living and reproducing in aquariums (2) and research into successful husbandry techniques is therefore ongoing (5). ,fishing; ,protected; ,1,1
Animalia,Brookesia exarmata,Dwarf chameleon (Brookesia exarmata),Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Brookesia (1),0.5 g (2),There are few threats to the dwarf chameleon. There is very low commercial demand for this tiny chameleon and currently no legal export quota for this species exists<em>. </em>However the continued degradation of the dry forest in and around Tsingy de Bemaraha National Park is cause for concern because even small changes to forest structure might have a negative impact on this species (5).,The dwarf chameleon occurs in the Tsingy de Bemaraha National Park and probably also the Bemaraha Strict Nature Reserve (6) (7). Protected areas provide this species with some protection but do not completely eliminate the threats of illegal harvesting and habitat degradation as a result of fires cattle damage and timber exploitation (5) (7).\xa0The dwarf chameleon is also listed on Appendix II of the Convention on International Trade in Endangered Species (CITES) meaning that trade in this species should be carefully controlled in order to be compatible with their survival (1).\xa0 , ,cites;protected; ,0,2
Plantae,Sium burchellii,Dwarf jellico (Sium burchellii),Plantae,Tracheophyta,Magnoliopsida,Apiales,Umbelliferae,Sium (1),Height: 60 cm (2)Leaves: up to 30 cm (2),The threat of alien plants outcompeting remaining subpopulations of dwarf jellico on St Helena is one of the primary concerns for this species. All the sub-populations grow on rocky outcrops where they face the additional threat of landslides. Concerns have also been raised that dwarf jellico is under threat from hybridisation with another St Helena endemic large jellico (<i>Sium bracteatum</i>) (1).,Some dwarf jellico subpopulations are protected within the Diana\xe2\x80\x99s Peak National Park which is protected by a management plan (1). In the past efforts have been made to ensure survival of this species by collecting seeds and planting seedlings in suitable habitat (1) (2). Currently the St Helena National Trust is involved in efforts to control invasive plants and to conduct further research into additional conservation measures for the endemic fauna and flora (3). ,pet; ,protected; ,1,1
Botia sidthimunki,Yasuhikotakia sidthimunki,Dwarf loach (Yasuhikotakia sidthimunki),Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Yasuhikotakia (1),Yasuhikotakia (1),[],[] , , ,0,0
Queensland sawfish,Pristis clavata,Dwarf sawfish (Pristis clavata),Animalia,Chordata,Chondrichthyes,Rajiformes,Pristidae,Pristis (1),Pristis (1),[],[] , , ,0,0
Animalia,Chiropterotriton dimidiatus,Dwarf splayfoot salamander (Chiropterotriton dimidiatus),Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Chiropterotriton (1),,[],[] , , ,0,0
Melocactus actinacanthus,Melocactus matanzanus,Dwarf turk's cap cactus (Melocactus matanzanus),Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Melocactus (1),Melocactus (1),[],[] , , ,0,0
Plantae,Dypsis tsaravotsira,Dypsis (Dypsis tsaravotsira),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Dypsis (1),,[],[] , , ,0,0
Plantae,Dypsis mcdonaldiana,Dypsis (Dypsis mcdonaldiana),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Dypsis (1),,[],[] , , ,0,0
Plantae,Dypsis ceracea,Dypsis (Dypsis ceracea),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Dypsis (1),,[],[] , , ,0,0
Plantae,Dypsis fanjana,Dypsis (Dypsis fanjana),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Dypsis (1),,[],[] , , ,0,0
Plantae,Dypsis psammophila,Dypsis (Dypsis psammophila),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Dypsis (1),,[],[] , , ,0,0
Plantae,Dypsis utilis,Dypsis (Dypsis utilis),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Dypsis (1),,[],[] , , ,0,0
Plantae,Dypsis culminis,Dypsis (Dypsis culminis),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Dypsis (1),,[],[] , , ,0,0
Haplophloga poivreana; Neophloga poivreana,Dypsis poivreana,Dypsis (Dypsis poivreana),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Dypsis (1),Dypsis (1),[],[] , , ,0,0
Neophloga integra,Dypsis integra,Dypsis (Dypsis integra),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Dypsis (1),Dypsis (1),[],[] , , ,0,0
Plantae,Dypsis bosseri,Dypsis (Dypsis bosseri),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Dypsis (1),,[],[] , , ,0,0
Plantae,Dypsis boiviniana,Dypsis (Dypsis boiviniana),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Dypsis (1),,[],[] , , ,0,0
Plantae,Dypsis saintelucei,Dypsis (Dypsis saintelucei),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Dypsis (1),,[],[] , , ,0,0
Plantae,Dypsis ambilaensis,Dypsis (Dypsis ambilaensis),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Dypsis (1),,[],[] , , ,0,0
Dypsis anovensis,Dypsis linearis,Dypsis (Dypsis linearis),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Dypsis (1),Dypsis (1),[],[] , , ,0,0
Plantae,Dypsis faneva,Dypsis (Dypsis faneva),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Dypsis (1),,[],[] , , ,0,0
Plantae,Dypsis rivularis,Dypsis (Dypsis rivularis),Plantae,Tracheophyta,Liliopsida,Arecales,Palmae,Dypsis (1),,[],[] , , ,0,0
Plantae,Encephalartos horridus,Eastern Cape blue cycad (Encephalartos horridus),Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos (1),Stem length: up to 1 m (2),Over the past few decades many South African cycads have become increasingly scarce in the wild with many species now facing the very real threat of extinction. Various factors account for their decline but the main threats include illegal harvesting for horticulture food and medicine habitat loss and the spread of alien vegetation (10). Although once abundant the Eastern Cape blue cycad has suffered significant declines due to heavy harvesting of wild specimens while urban development has destroyed several populations (2) (5) (10).,There are not known to be any specific conservation measures in place for this Endangered species but like all South African cycads the Eastern Cape blue cycad is partially protected by its listing on Appendix I of CITES which permits trade only under exceptional circumstances (3). In addition on account of its increasing prevalence in nurseries and private collections there is no longer such a strong incentive to poach this species from the wild (5) (6). ,loss; ,cites;protected; ,1,2
Animalia,Sandelia bainsii,Eastern Cape rocky (Sandelia bainsii),Animalia,Chordata,Actinopterygii,Perciformes,Anabantidae,Sandelia (1),,[],[] , , ,0,0
Animalia,Dasyornis brachypterus,Eastern bristlebird (Dasyornis brachypterus),Animalia,Chordata,Aves,Passeriformes,Dasyornithidae,Dasyornis (1),,[],[] , , ,0,0
Clarence River cod,Maccullochella ikei,Eastern freshwater cod (Maccullochella ikei),Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,Maccullochella (1),Maccullochella (1),[],[] , , ,0,0
Animalia,Ebenavia maintimainty,Ebenavia (Ebenavia maintimainty),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Ebenavia (1),,[],[] , , ,0,0
Plantae,Diospyros crassiflora,Ebony (Diospyros crassiflora),Plantae,Tracheophyta,Magnoliopsida,Ebenales,Ebenaceae,Diospyros (1),,[],[] , , ,0,0
Pininana,Echium pininana,Echium (Echium pininana),Plantae ,Tracheophyta,Magnoliopsida,Lamiales ,Boraginaceae,Echium (1),Echium (1),[],[] , , ,0,0
Plantae,Ecuadendron acosta-solisianum,Ecuadendron (Ecuadendron acosta-solisianum),Plantae,Tracheophyta,Magnoliopsida,Fabales,Leguminosae,Ecuadendron (1),,[],[] , , ,0,0
Eleutherodactylus glandulosus,Pristimantis glandulosus,Ecuador robber frog (Pristimantis glandulosus),Animalia,Chordata,Amphibia,Anura,Strabomantidae,Pristimantis (1),Pristimantis (1),[],[] , , ,0,0
Animalia,Edentulina moreleti,Edentulina (Edentulina moreleti),Animalia,Mollusca,Gastropoda,Stylommatophora,Streptaxidae,Edentulina (1),,[],[] , , ,0,0
Edmund,Ophiogomphus edmundo,Edmund's snaketail (Ophiogomphus edmundo),Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Ophiogomphus (1),Length: 4.5 - 4.8 cm (2),Edmund\xe2\x80\x99s snaketail is threatened by the impounding and channelling of water to develop dams and reservoirs for hydroelectric schemes irrigation and water supplies. Siltation drainage and pollution also pose further threats to this species as they destroy freshwater habitats by lowering the water table sometimes turning permanent waterbodies into temporary water sources (1) (3) (8).,The Conasauga River runs through fairly rugged inaccessible country in national forests in Tennessee and Georgia which affords some level of protection to Edmund\xe2\x80\x99s snaketail in these areas. It is also state-listed in Georgia (1). ,pollution; ,protected; ,1,1
Animalia,Petropedetes palmipes,Efulen water frog (Petropedetes palmipes),Animalia,Chordata,Amphibia,Anura,Petropedetidae,Petropedetes (1),,[],[] , , ,0,0
Adrianichthys oophorus,Xenopoecilus oophorus,Egg-carrying buntingi (Xenopoecilus oophorus),Animalia,Chordata,Actinopterygii,Beloniformes,Adrianichthyidae,Xenopoecilus (1),Xenopoecilus (1),[],[] , , ,0,0
Vautour percnoptÃ¨re,Neophron percnopterus,Egyptian vulture (Neophron percnopterus),Animalia,Chordata,Aves,Falconiformes,Accipitridae,Neophron (1),1600 â 2200 g (2),Numerous threats are pushing this Endangered bird towards extinction.  In Africa declines have been caused by the loss of wild <strong>ungulate</strong> populations and in some areas overgrazing by livestock (5).  In Europe the Egyptian vulture has been suffering severe long-term declines; the result of disturbance lead poisoning from gun shot direct poisoning and electrocution by powerlines as well as regulations introduced within the European Union to control the disposal of animal carcasses which have greatly reduced food availability for this scavenger.  In addition Avian pox has been cited as the cause of Egyptian vulture deaths in Bulgaria (5).  In India diclofenac an anti-inflammatory drug often used for livestock is likely to be the source of recent and extremely rapid declines in Egyptian vulture populations (5) (7).  This drug which is also responsible for devastating declines in other vulture species poisons vultures when they feed on the flesh of treated livestock (8).,Throughout its range the Egyptian vulture occurs in a number of protected areas as well as being the subject of monitoring supplementary feeding programmes and campaigns against the illegal use of poisons (5).  In 2006 manufacture of the veterinary form of the drug diclofenac was banned by the Indian Nepali and Pakistani governments (9) (10).  While this was a remarkable step forward in vulture conservation the drug remains widely available and the human form of the drug is sometimes being used to treat livestock instead (9).    Many more measures may be necessary if the long-term survival of the Egyptian vulture is to be assured.  BirdLife International recommends relaxing European Union regulations with regards to the disposal of animal carcasses lobbying for the ban of diclofenac throughout the species range and protecting nest sites as just some of the measures which would benefit the Egyptian vulture (5). ,loss; ,protected; ,1,1
Animalia,Peromyscus ochraventer,El Carrizo deer mouse (Peromyscus ochraventer),Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus (1),,[],[] , , ,0,0
Cotorra de El Oro; Perico de El Oro,Pyrrhura orcesi,El Oro parakeet (Pyrrhura orcesi),Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura (1),Length: 22 cm (2),Deforestation associated with logging and clearance of trees for agriculture is a huge threat to the survival of the El Oro Parakeet. Although high altitude <strong>cloud forest</strong> is being deforested at a much slower rate this species is largely restricted to the more accessible lower altitude forest (2) (7). As habitat becomes more and more fragmented so the sub-populations are becoming more and more isolated and vulnerable. In 2006 the total population of El Oro parakeets was estimated to be less than 1000 birds (2).,In the past decade around 1500 hectares of forest has been acquired by the Jocotoco Foundation at Buenaventura the locality in which the El Oro parakeet was first discovered (2) (7) (8). Now known as the Buenaventura Reserve it is one of the richest ornithological regions of Ecuador and the only well protected site in which the El Oro parakeet occurs (7) (8). Approximately 80 El Oro parakeets are year-round occupants of the reserve but at certain times of the year the total number rises to around 120 (7) (9). The long-term aim is to expand the reserve to 5000 hectares and implement an environmental awareness campaign that will encourage and engage local people in conservation (2) (7) (8). , ,protected; ,0,1
Animalia,Eleutherodactylus acmonis,El Yunque robber frog (Eleutherodactylus acmonis),Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus (1),,[],[] , , ,0,0
Plantae,Elaeagia uxpanapensis,Elaeagia (Elaeagia uxpanapensis),Plantae,Tracheophyta,Magnoliopsida,Rubiales,Rubiaceae,Elaeagia (1),,[],[] , , ,0,0
Plantae,Elaeocarpus blascoi,Elaeocarpus (Elaeocarpus blascoi),Plantae,Tracheophyta,Magnoliopsida,Malvales,Elaeocarpaceae,Elaeocarpus (1),,[],[] , , ,0,0
Plantae,Elaphandra paucipunctata,Elaphandra (Elaphandra paucipunctata),Plantae,Tracheophyta,Magnoliopsida,Asterales,Compositae,Elaphandra (1),,[],[] , , ,0,0
Plantae,Elaphoglossum hornei,Elaphoglossum (Elaphoglossum hornei),Plantae,Polypodiophyta,Polypodiopsida,Blechnales,Lomariopsidaceae,Elaphoglossum (1),,[],[] , , ,0,0
Plantae,Elaphoglossum herpestes,Elaphoglossum (Elaphoglossum herpestes),Plantae,Polypodiophyta,Polypodiopsida,Blechnales,Lomariopsidaceae,Elaphoglossum (1),,[],[] , , ,0,0
Brow-antlered deer; thamin,Rucervus eldii,Eldâs deer (Rucervus eldii),Animalia,Chordata,Mammalia,Cetartiodactyla,Cervidae,Rucervus (1),up to 150 kg (2),Eld\xe2\x80\x99s deer are widely hunted as food and for their antlers (6). In particular Eld\xe2\x80\x99s deer are thought to have been hunted to feed the armies during many Asian wars (10). They are a prized game animal because of their impressive antlers and hides which are sold in the local markets (6). Habitat destruction due to expanding agriculture has also had a major impact on this rare species. In Manipur the Manipur brow-antlered deer (<i>R. e. eldii</i>) population has declined primarily due to wetland reclamation for grazing cultivation and fish farming (6). Very little suitable habitat is protected; only one percent of the protected forests in Southeast Asia are suitable for Eld\xe2\x80\x99s deer (11). Even within protected areas these threats continue. The Chatthin Wildlife Sanctuary Myanmar is one of the last strongholds of the species yet the <strong>dipterocarp</strong> forest within it continues to be degraded under great pressure from local communities for cropland and timber (7). Sadly there is often a lack of funding and political will for protection (12). Due to their highly fragmented distribution this species is also at risk from <strong>inbreeding</strong> and loss of genetic variation (12).,Eld\xe2\x80\x99s deer occur in a number of protected areas throughout its range. The entire Manipur brow-antlered deer (<i>R. e. eldii</i>) population now resides within Keibul Lamjao National Park Manipur (1) created in 1977 specifically to protect this <strong>subspecies</strong> (6). Additionally local projects have helped raise public awareness and support for conserving the deer (6). Hainan Datian Nature Reserve on Hainan Island China was established in 1976 specifically to help the Thailand brow-antlered deer (<i>R. e. siamensis</i>) <strong>subspecies</strong> recover with the population now growing an average of 15 percent annually (8). This population has become so large in fact that large numbers have been translocated to other parts of the island (8). Kyatthin and Shwesettaw Wildlife Sanctuaries were established in Myanmar to protect the Burmese brow-antlered deer (<i>R. e. thamin</i>) <strong>subspecies</strong> and a community education project was initiated in 1995 to raise local awareness about the plight of the deer and the protected status of the Kyatthin Wildlife Sanctuary (6). Captive populations exist around the world but <strong>inbreeding</strong> is common and cooperative <strong>cross-breeding</strong> is required if captive populations are to be genetically varied enough for any future reintroduction programmes into the wild (12). ,loss; ,protected; ,1,1
Sanghir sunbird,Aethopyga duyvenbodei,Elegant sunbird (Aethopyga duyvenbodei),Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Aethopyga (1),Length: 12 cm (2),When the tiny island of Sangihe was first colonised in the 17<sup>th </sup>century its forests were plundered for their natural resources of fruit spices and fibres. When these were gone the forests were replaced with plantations of bananas coconuts rubber and tea (7). After centuries of agriculture Sangihe has now been almost entirely stripped of forest and only tiny patches remain (6) (8). Naturally this has had a great impact on the island\xe2\x80\x99s wildlife including the elegant sunbird.,Action Sampiri a UK-based conservation group has been working to promote wildlife conservation on Sangihe since 1995 by conducting fieldwork running education and awareness programmes and developing ideas for future land-use that may be mutually beneficial to the local people and wildlife (2). The <strong>primary forest</strong> fragment at Mount Sahendaruman is nominally protected although action is limited (2) and forest in the Kentuhang valley also receives some protection as part of a <strong>watershed</strong> for a hydroelectric scheme (2). Improved effective protection of the forest at Mount Sahendaruman has been recommended (2) a measure that would not only help the elegant sunbird but also the other highly threatened species clinging to existence in this tiny patch of forest.\xa0 , ,protected; ,0,1
Plantae,Coryphantha elephantidens ssp. greenwoodii,Elephant's tooth (Coryphantha elephantidens ssp. greenwoodii),Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Coryphantha (1),,[],[] , , ,0,0
pineapple tortoise; red-nosed tortoise; yellow tortoise; yellow-headed tortoise,Indotestudo elongata,Elongated tortoise (Indotestudo elongata),Animalia,Chordata,Reptilia,Testudines,Testudinidae,Indotestudo (1),3.5 kg (2),The elongated tortoise is under extreme pressure across most of its range largely\xa0due to it being widely harvested and sold on the Asian food markets (2). It is the most common tortoise to be shipped to the Chinese food markets from Vietnam (2); approximately 100000 were shipped from Ho Chi Minh City in 1993 (5).,This species has been placed on Appendix II of the Convention on International Trade in Endangered Species (CITES) which regulates its legal international trade (2). ,pet; ,cites;captive breeding; ,1,2
Taosze spiny toad,Vibrissaphora boringii,Emei moustache toad (Vibrissaphora boringii),Animalia,Chordata,Amphibia,Anura,Megophryidae,Vibrissaphora (1),Vibrissaphora (1),[],[] , , ,0,0
Animalia,Eleutherodactylus emiliae,Emilia's robber frog (Eleutherodactylus emiliae),Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus (1),,[],[] , , ,0,0
Animalia,Pachnodus fregatensis,Enid snail (Pachnodus fregatensis),Animalia,Mollusca,Gastropoda,Stylommatophora,Cerastidae,Pachnodus (1),,[],[] , , ,0,0
Animalia,Enoplotettix gardineri,Enoplotettix (Enoplotettix gardineri),Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Enoplotettix (1),,[],[] , , ,0,0
Plantae,Epipactis tallosii,Epipactis (Epipactis tallosii),Plantae,Tracheophyta,Liliopsida,Orchidales,Orchidaceae,Epipactis (1),,[],[] , , ,0,0
Animalia,Eudyptes sclateri,Erect-crested penguin (Eudyptes sclateri),Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes (1),4 kg (3),Although still fairly abundant the erect-crested penguin is considered endangered because it is thought to have undergone significant declines of at least 50% over the last 45 years a pattern that is only expected to continue. Furthermore the species\xe2\x80\x99 very small and restricted breeding range leaves it particularly vulnerable (2). The reasons for this decline are not fully understood but are believed to be associated with marine factors as predation on land during the breeding season is unlikely to be significant since there are no mammalian predators on the Bounty or Antipodes Islands except for mice on the main Antipodes Island (2) (7).,All the islands on which the erect-crested penguin is found are nature reserves and as of 1998 became part a World Heritage site. Cattle and sheep were eradicated from Campbell Island in 1984 and 1992 respectively and introduced brown rats (<i>Rattus norvegicus</i>) have also been successfully removed from Campbell Island (2). , , ,0,0
Plantae,Eriocaulon dalzellii,Eriocaulon (Eriocaulon dalzellii),Plantae,Tracheophyta,Liliopsida,Eriocaulales,Eriocaulaceae,Eriocaulon (1),,[],[] , , ,0,0
Panicaut Nain Vivipare,Eryngium viviparum,Eryngium (Eryngium viviparum),Plantae,Tracheophyta,Magnoliopsida,Apiales,Umbelliferae,Eryngium (1),Eryngium (1),[],[] , , ,0,0
Plantae,Erythrina ankaranensis,Erythrina (Erythrina ankaranensis),Plantae,Tracheophyta,Magnoliopsida,Fabales,Leguminosae,Erythrina (1),,[],[] , , ,0,0
Plantae,Erythrophleum fordii,Erythrophleum (Erythrophleum fordii),Plantae,Tracheophyta,Magnoliopsida,Fabales,Leguminosae,Erythrophleum (1),,[],[] , , ,0,0
Animalia,Procambarus escambiensis,Escambia crayfish (Procambarus escambiensis),Animalia,Arthropoda,Crustacea,Decapoda,Cambaridae,Procambarus (1),,[],[] , , ,0,0
Plantae,Eschweilera rabeliana,Eschweilera (Eschweilera rabeliana),Plantae,Tracheophyta,Magnoliopsida,Lecythidales,Lecythidaceae,Eschweilera (1),,[],[] , , ,0,0
Plantae,Eschweilera jacquelyniae,Eschweilera (Eschweilera jacquelyniae),Plantae,Tracheophyta,Magnoliopsida,Lecythidales,Lecythidaceae,Eschweilera (1),,[],[] , , ,0,0
Plantae,Esenbeckia alata,Esenbeckia (Esenbeckia alata),Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Esenbeckia (1),,[],[] , , ,0,0
ColibrÃ­ de Esmeraldas; Estrellita EsmeraldeÃ±a,Chaetocercus berlepschi,Esmeraldas woodstar (Chaetocercus berlepschi),Animalia,Chordata,Aves,Apodiformes,Trochilidae,Chaetocercus (1),Chaetocercus (1),[],[] , , ,0,0
Animalia,Eleutherodactylus melacara,Estrada's robber frog (Eleutherodactylus melacara),Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus (1),,[],[] , , ,0,0
Animalia,Eleutherodactylus etheridgei,Etheridge's robber frog (Eleutherodactylus etheridgei),Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus (1),,[],[] , , ,0,0
Stresemannâs bushcrow,Zavattariornis stresemanni,Ethiopian bush-crow (Zavattariornis stresemanni),Animalia,Chordata,Aves,Passeriformes,Corvidae,Zavattariornis (1),Length: 30 cm (2)Wingspan: 13 â 15 cm (3),The Ethiopian bush-crow appears to have very specific habitat requirements particularly with regard to the density of <i>Acacia</i> bushes. The vegetation in the Yavello Wildlife Sanctuary has been shown to have become much denser between 1986 and 2002 as a result of the enforcement of fire suppression and this is thought to be the cause of the decline in Ethiopian bush-crows. Partial clearance of scrub for cattle grazing space appears to have benefited the crow but intensive clearing of scrub for firewood and grazing is said to be having a negative impact elsewhere. The spread of cultivated land is also reducing suitable habitat (2).,A detailed study of the Ethiopian bush-crow\xe2\x80\x99s ecology and habitat requirements is currently underway and it is hoped that this might shed light on the effect of clearing <i>Acacia</i>. Yavello Sanctuary was created in order to protect this species and the white-tailed swallow (<i>Hirundo megaensis</i>) but there is no active management and the sanctuary has been deemed a failure. Responsibility for the area has now been transferred to the regional government and it is hoped that in collaboration with the local communities the sanctuary will become highly valuable and act as a stronghold for both of these important species (2). , , ,0,0
Abyssinian wolf; Simien fox; Simien jackal,Canis simensis,Ethiopian wolf (Canis simensis),Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis (1),11 - 20 kg (2),The Ethiopian wolf has been reduced to a handful of mountain ranges due to pressures on the habitat particularly conversion to agriculture (2). As populations have become increasingly isolated by the fragmentation of their habitat the likelihood of local extinctions has increased. Rabies and distemper transmitted from domestic dogs to the wolves and <strong>hybridisation</strong> resulting from breeding with domestic dogs further threatens the survival of this species (4) (6).,Determined conservation efforts are needed in order to ensure the long-term survival of the remaining Ethiopian wolf populations. The Ethiopian Wolf Conservation Programme (EWCP) is a joint long-term project between the Wildlife Conservation Research Unit at Oxford University the Born Free Foundation and the Ethiopian Wildlife Conservation Organisation under the aegis of the IUCN Canid Specialist Group (4). The EWCP carries out vital conservation measures in the field working closely with local people and undertakes population monitoring and other needed research. Some of the activities undertaken so far in the Bale Mountains include assistance with park management in Bale vaccination and sterilisation of local dogs education programmes and tourism development (4) and the EWCP team has now expanded its activities to all wolf populations in the north of the country (7). ,fragmentation; , ,1,0
Plantae,Ethulia scheffleri,Ethulia (Ethulia scheffleri),Plantae,Tracheophyta,Magnoliopsida,Asterales,Compositae,Ethulia (1),,[],[] , , ,0,0
Animalia,Eua zebrina,Eua (Eua zebrina),Animalia,Mollusca,Gastropoda,Stylommatophora,Partulidae,Eua (1),,[],[] , , ,0,0
Animalia,Euastacus gumar,Euastacus (Euastacus gumar),Animalia,Arthropoda,Crustacea,Decapoda,Parastacidae,Euastacus (1),,[],[] , , ,0,0
Animalia,Euastacus hirsutus,Euastacus (Euastacus hirsutus),Animalia,Arthropoda,Crustacea,Decapoda,Parastacidae,Euastacus (1),,[],[] , , ,0,0
Animalia,Euastacus bidawalis,Euastacus (Euastacus bidawalis),Animalia,Arthropoda,Crustacea,Decapoda,Parastacidae,Euastacus (1),,[],[] , , ,0,0
